cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank
cluster_643	0.061800200688313434	0.632262633850145	0.06075901526271671	0.061800200688313434	1.0	0.10119438536654216	-0.03887422003331139	0.030765387383531163	0.02501159117232286	-0.0008466035795074341	-0.0900195476190728	0.17261331444431532	0.039073957659660596	0.039073957659660596	M13	13	age_DMR	age_DMR	cluster_643	chr1	236192895	236192973	79	3	0.045617076	29
cluster_832	0.06166929719687478	0.05023845503924307	-0.08650829630908441	0.06166929719687478	1.0	0.19243240189121782	0.1079577773366572	-0.0854387004544703	-0.049778428289716695	0.0016849226137584607	-0.15131905262443804	0.29015568177043294	0.003098170214526912	0.003098170214526912	M01	1	age_DMR	age_DMR	cluster_832	chr10	17347047	17347391	345	3	0.093944091	30
cluster_5679	-0.06131858774405247	0.01191051782286745	-0.08284265650868827	0.06131858774405247	-1.0	0.11800609446662998	0.07377057515020927	-0.05838265874034973	0.06386242775863549	-0.0021616441578624496	0.06636965341214003	-0.12726442375014407	-0.0007303361321985986	0.0007303361321985986	M01	1	age_DMR	age_DMR	cluster_5679	chr4	186427685	186427765	81	3	0.024534686	31
cluster_1387	0.05917032505379138	-0.001140233407097846	-0.1393359570690927	0.05917032505379138	1.0	0.1532397446635056	-0.019358272888135124	0.015320301319724105	0.07197043772561743	-0.002436087723385169	-0.13389523034413103	0.2567453415316727	-6.746798133517158e-05	6.746798133517158e-05	M12	12	age_DMR	age_DMR	cluster_1387	chr11	59824038	59824089	52	2	0.027980847	32
cluster_6114	-0.05900512375137873	-0.19884179631592364	-0.09709052952851172	0.05900512375137873	-1.0	0.1658284212962389	0.1652131247025047	-0.1307510678789362	-0.006585814086874411	0.00022291959521904134	0.012661587122104825	-0.024278710314346332	0.011732684798567518	0.011732684798567518	M01	1	age_DMR	age_DMR	cluster_6114	chr6	7248862	7248983	122	3	0.03469714	33
cluster_1764	-0.056940770422262976	0.35044523581868364	0.1024959406519046	0.056940770422262976	-1.0	0.19080851285063116	-0.018666123130581497	0.01477252813224131	0.1551307575884885	-0.005250935606665652	0.10951672234670405	-0.20999932716099462	-0.019954621718327476	0.019954621718327476	M15	15	age_DMR	age_DMR	cluster_1764	chr12	25801455	25801621	167	4	0.045710488	34
cluster_5661	0.051670412114539495	0.16847657816768324	-0.15903213372323843	0.051670412114539495	1.0	0.17810597470726544	0.12230138414746304	-0.09679035251677169	-0.016616394725908586	0.0005624391969523861	-0.12840562716778636	0.2462189767107488	0.008705254225571621	0.008705254225571621	M01	1	age_DMR	age_DMR	cluster_5661	chr4	177190237	177190421	185	5	0.055498035	35
cluster_6975	-0.049965646275189825	0.1711368283058644	0.11404835687932069	0.049965646275189825	-1.0	0.11410735593877944	0.0633382300725208	-0.050126412380712596	0.038175546350155236	-0.0012921830509310945	0.08689870511973624	-0.166629070111643	-0.008550962227788714	0.008550962227788714	M03	3	age_DMR	age_DMR	cluster_6975	chr7	94927713	94928249	537	2	0.037164296	36
cluster_3348	0.04738931923287908	0.8828949967479023	0.09146397761107203	0.04738931923287908	1.0	0.11834389969558966	-0.02970585457036962	0.02350946520941457	0.07834462569212809	-0.0026518441025663807	-0.08357607567099677	0.16025789743874574	0.04183979284999808	0.04183979284999808	M02	2	age_DMR	age_DMR	cluster_3348	chr17	38911538	38911540	3	2	0.023898612	37
cluster_5977	0.04621324834127211	0.854957231281879	0.07701851364988803	0.04621324834127211	1.0	0.11054172751280887	-0.03729059798084583	0.029512095462266717	0.07153674049018857	-0.0024214077444343358	-0.07557366991079921	0.14491321044208152	0.03951035085039589	0.03951035085039589	M06	6	age_DMR	age_DMR	cluster_5977	chr5	147040667	147040773	107	3	0.060793808	38
cluster_4909	0.045510434162963395	-0.3182889463960755	-0.29171105360392424	0.045510434162963395	1.0	0.10970002466604271	-0.05857918429206429	0.04636006319386739	0.07856689869480293	-0.002659367699061938	-0.04929317405977547	0.09452011678556389	-0.01448546813975758	0.01448546813975758	M15	15	age_DMR	age_DMR	cluster_4909	chr21	32014696	32015231	536	2	0.023414564	39
cluster_1718	0.04482086841341994	0.5260137442757669	0.027065378027102738	0.04482086841341994	1.0	0.13646187671634225	-0.04502851515971678	0.0356359487343234	0.10106015224978247	-0.003420729455025961	-0.07988192690908331	0.1531743330495692	0.02357639281583447	0.02357639281583447	M00	0	age_DMR	age_DMR	cluster_1718	chr12	7188165	7188426	262	3	0.013745268	40
cluster_6532	0.043380022403273	-0.15080890837579172	-0.07104843539460678	0.043380022403273	1.0	0.09727384402367616	-0.008202911063005731	0.006491853375058639	0.002071086142987025	-7.010305462138343e-05	-0.0969052299074886	0.18581667386402145	-0.006542093823954991	0.006542093823954991	M09	9	age_DMR	age_DMR	cluster_6532	chr6	152702330	152702463	134	5	0.037280463	41
cluster_2365	-0.04206595171579531	-0.20112476858696118	-0.12600361306887	0.04206595171579531	-1.0	0.18863696423467158	0.17471354745653428	-0.13826978300902948	-0.06999948239631815	0.002369373941549471	-0.01261558857420659	0.02419050767367168	0.008460504804229614	0.008460504804229614	M07	7	age_DMR	age_DMR	cluster_2365	chr14	24630327	24630512	186	6	-0.041337281	42
cluster_1758	0.04146978517954862	-0.07335387384340786	-0.40294242245288847	0.04146978517954862	1.0	0.12127494672967792	0.07737625832355587	-0.061236226979538365	0.02996089628104544	-0.001014129883301957	-0.08844700134074081	0.1695979424234672	-0.0030419693903738342	0.0030419693903738342	M01	1	age_DMR	age_DMR	cluster_1758	chr12	20848285	20848473	189	2	0.027213681	43
cluster_6604	0.04068701600287178	0.018876363642905125	-0.1183320005985421	0.04068701600287178	1.0	0.14614571199891954	0.05835158345766864	-0.04617993796349629	-0.037023864842768796	0.0012532004176436606	-0.12877459095550745	0.24692646818335612	0.0007680229096149079	0.0007680229096149079	M03	3	age_DMR	age_DMR	cluster_6604	chr6	167173257	167173343	87	2	0.013598211	44
cluster_3519	-0.03961550093922481	-0.10638923526560973	-0.07470655624030126	0.03961550093922481	-1.0	0.11934102002937245	0.1166328091540949	-0.09230419419811917	-0.022849363109198478	0.0007734155122093341	0.01081542860822241	-0.02073868430333673	0.004214662849588171	0.004214662849588171	M01	1	age_DMR	age_DMR	cluster_3519	chr17	76481380	76481729	350	2	0.033654647	45
cluster_916	0.03477969827616953	0.9090601814082285	0.09093981859177147	0.03477969827616953	1.0	0.07538368205973557	-0.04045167791893381	0.03201380093088448	-0.005804146742080648	0.00019646136761060517	-0.0633456640585805	0.12146589621953427	0.03161683882425813	0.03161683882425813	M02	2	age_DMR	age_DMR	cluster_916	chr10	74870240	74870311	72	2	-0.025276367	46
cluster_3684	0.03303168106417983	-0.0536562606326222	-0.028565961589600022	0.03303168106417983	1.0	0.13854913888532144	-0.01028547903543766	0.008140015328391743	0.09053232155687382	-0.003064378709979102	-0.10437419010655107	0.20013847406755514	-0.0017723564883132844	0.0017723564883132844	M02	2	age_DMR	age_DMR	cluster_3684	chr18	61817088	61817320	233	3	0.042859403	47
cluster_1556	-0.03260139379560621	-0.03488354502458838	0.001550211691255049	0.03260139379560621	-1.0	0.12492989541348315	-0.015185244866074438	0.012017731556240372	0.057814686071642925	-0.0019569374790722603	0.10970118131004139	-0.21035302892780813	0.0011372521883333657	0.0011372521883333657	M00	0	age_DMR	age_DMR	cluster_1556	chr11	108408950	108408962	13	2	0.027292831	48
cluster_6143	0.03248292470823936	-0.3783579650199369	-0.425345738683767	0.03248292470823936	1.0	0.11568316101369037	-0.054829618607924846	0.04339262511552921	0.09906102563100928	-0.0033530621187225105	-0.023732253714332248	0.045506815810706876	-0.012290173290505272	0.012290173290505272	M08	8	age_DMR	age_DMR	cluster_6143	chr6	25650786	25651144	359	2	0.008409488	49
cluster_5240	0.03065701071486171	-0.057839199101874864	-0.0066052453425695795	0.03065701071486171	1.0	0.12711162978081536	-0.014527220472225658	0.011496965470972974	0.09367069019141361	-0.0031706076220666844	-0.08468841768477332	0.1623908235294891	-0.0017731769466051974	0.0017731769466051974	M06	6	age_DMR	age_DMR	cluster_5240	chr3	99904510	99904609	100	3	0.021563529	50
cluster_4364	0.028761783519538977	-0.17050264874867835	-0.05580537842489494	0.028761783519538977	1.0	0.12587756867995642	-0.022426626075060078	0.017748622051158663	0.11324067857213212	-0.0038330213845452947	-0.05018722403350919	0.09623446587225418	-0.00490396027281748	0.00490396027281748	M04	4	age_DMR	age_DMR	cluster_4364	chr2	44502740	44502977	238	2	0.050410937	51
cluster_950	-0.028665678768162717	-0.5422194754125403	-0.12457064804424955	0.028665678768162717	-1.0	0.08244253527541014	0.0774901282486253	-0.06132634460384293	0.02050081546639249	-0.000693920816036486	0.0192812917581206	-0.03697205512763426	0.015543089304017585	0.015543089304017585	M03	3	age_DMR	age_DMR	cluster_950	chr10	95123718	95123774	57	3	0.033547863	52
cluster_1523	0.028657784752583102	0.3269253331601478	0.05267818930943523	0.028657784752583102	1.0	0.16182025308387424	-0.018348501159346945	0.014521159410806428	0.14577175945071733	-0.004934148031279075	-0.06782124268971157	0.13004785960425144	0.009368955827870035	0.009368955827870035	M06	6	age_DMR	age_DMR	cluster_1523	chr11	74978433	74978559	127	2	0.066262174	53
cluster_4907	0.028191874667370782	-0.1481369219125609	-0.051786035079361636	0.028191874667370782	1.0	0.1211259443754218	-0.09323341107755904	0.07378571213599154	0.07721325353265511	-0.0026135489092151964	-0.004139920117899876	0.007938335083723437	-0.004176257536169009	0.004176257536169009	M08	8	age_DMR	age_DMR	cluster_4907	chr21	31802169	31802829	661	2	0.025709315	54
cluster_3660	-0.02673350276848525	-0.13847841401744884	-0.01990782936879454	0.02673350276848525	-1.0	0.14264000838694707	-0.034864384943898395	0.027591969890803175	0.1239317918827096	-0.004194898993022687	0.06141300852305444	-0.11776001137019045	0.0037020130645109154	0.0037020130645109154	M04	4	age_DMR	age_DMR	cluster_3660	chr18	28742633	28743074	442	2	0.042266849	55
cluster_5064	-0.026514052553844446	-0.08798507302188784	0.007025181430767025	0.026514052553844446	-1.0	0.1541279832491774	0.1533915061790784	-0.12139533873345404	0.005854037389548091	-0.00019815008866952844	-0.013864028953166239	0.02658440363735995	0.0023328408500561753	0.0023328408500561753	M07	7	age_DMR	age_DMR	cluster_5064	chr22	46370644	46371152	509	2	-0.024982701	56
cluster_4532	0.02555737957017126	0.8219627057393586	0.12261641883976604	0.02555737957017126	1.0	0.08599414655755727	-0.06583229492571085	0.052100236454926584	0.05204549302393347	-0.0017616592398187348	-0.01877149016121409	0.035994505854409595	0.021007212863105775	0.021007212863105775	M13	13	age_DMR	age_DMR	cluster_4532	chr2	159651559	159651918	360	3	0.015502877	57
cluster_3762	0.025479216170542242	0.5439085813126973	0.05384274143862541	0.025479216170542242	1.0	0.13744117244296628	0.10483679850531609	-0.08296873134178503	-0.027795305878547203	0.0009408280060295211	-0.0844200363229663	0.16187619978806994	0.013858364320279166	0.013858364320279166	M07	7	age_DMR	age_DMR	cluster_3762	chr19	863226	863244	19	2	-0.027459185	58
cluster_6518	0.024956902722702987	0.3466789280921529	0.021811462955709487	0.024956902722702987	1.0	0.09094682986480344	-0.06502355533591346	0.05146019308553694	0.057941471716644946	-0.001961228976568335	-0.026192536517949862	0.050224430822502504	0.008652032284406804	0.008652032284406804	M04	4	age_DMR	age_DMR	cluster_6518	chr6	143929300	143929511	212	3	0.059909335	59
cluster_1715	-0.024207698715579234	-0.05533821677534031	0.02886821977342842	0.024207698715579234	-1.0	0.10951522807510262	0.01116763324290467	-0.008838159648753112	0.06517737880558543	-0.00220615321190683	0.0872970700546527	-0.1673929385556981	0.001339610879154851	0.001339610879154851	M06	6	age_DMR	age_DMR	cluster_1715	chr12	7032991	7033911	921	8	-0.061309439	60
cluster_7425	0.023893307994167334	0.13436352642485072	-0.23645448431291016	0.023893307994167334	1.0	0.1470755285164193	0.12065497254443477	-0.09548736841274334	-0.002363944256200749	8.001584766307082e-05	-0.08407140094133873	0.1612076882220049	0.0032103891200513995	0.0032103891200513995	M01	1	age_DMR	age_DMR	cluster_7425	chr8	19460935	19461068	134	2	0.051781861	61
cluster_1333	-0.02385699435247903	-0.09628726378701863	0.03473239095852318	0.02385699435247903	-1.0	0.1668533477934485	0.013083846326030242	-0.01035466693201775	0.15887668207261194	-0.005377729342217061	0.04926512487344868	-0.09446633221157535	0.002297124708382562	0.002297124708382562	M04	4	age_DMR	age_DMR	cluster_1333	chr11	44328423	44329915	1493	3	-0.042831806	62
cluster_5928	0.023666865505104412	-0.1478406828267043	-0.0764613114752899	0.023666865505104412	1.0	0.0807177455918894	-0.04763590488953172	0.037699459076880985	0.057713677633771984	-0.0019535185000687724	-0.03025403167806758	0.05801238532494133	-0.00349892555664241	0.00349892555664241	M04	4	age_DMR	age_DMR	cluster_5928	chr5	126984765	126984994	230	2	0.052801687	63
cluster_1688	0.023257583375581637	-0.04030843879164069	-0.004136005652803754	0.023257583375581637	1.0	0.16856570293664674	-0.0012289567801716163	0.000972606817247987	0.1463949535882795	-0.004955242186543056	-0.08355479301418797	0.16021708774763851	-0.0009374768759361125	0.0009374768759361125	M02	2	age_DMR	age_DMR	cluster_1688	chr12	1738035	1738060	26	2	-0.051417718	64
cluster_5215	0.02257791147741315	0.8148807074730644	0.10552018792783104	0.02257791147741315	1.0	0.04553548298500606	-0.04038804756939992	0.0319634433326849	0.0008418775309371446	-2.8496249050598662e-05	-0.021013735185172782	0.040294031408787956	0.018398304477978647	0.018398304477978647	M13	13	age_DMR	age_DMR	cluster_5215	chr3	63428234	63428840	607	3	0.019791166	65
cluster_1806	0.02256839104433494	0.38848233320117936	0.009879490160644003	0.02256839104433494	1.0	0.06782811610177117	-0.02177058500633469	0.017229425586212297	0.0480586908509269	-0.0016267121679910805	-0.04262695386832537	0.08173757796487312	0.008767421209499839	0.008767421209499839	M06	6	age_DMR	age_DMR	cluster_1806	chr12	49371182	49371310	129	2	-0.025223915	66
cluster_840	0.022510081405926686	-0.07001911651094249	0.025574672066498043	0.022510081405926686	1.0	0.09113436068668594	-0.0128824824677915	0.010195305867063936	0.07354396769451287	-0.002489349272998343	-0.0522570393247308	0.10020335582065902	-0.0015761360126323807	0.0015761360126323807	M13	13	age_DMR	age_DMR	cluster_840	chr10	23287263	23287284	22	2	0.08106502	67
cluster_2776	-0.02243036316972645	0.0722998802700893	0.027645869589848205	0.02243036316972645	-1.0	0.17005935542641779	0.16642939675808663	-0.1317136358975788	-0.02742640209909061	0.0009283411850979774	-0.02166178041360114	0.04153666412298682	-0.0016217125715858429	0.0016217125715858429	M14	14	age_DMR	age_DMR	cluster_2776	chr16	685580	685686	107	2	-0.057703016	68
cluster_6406	0.021592150581891487	-0.03939850043333856	0.01717627821111634	0.021592150581891487	1.0	0.16998002307861163	0.0790693267341815	-0.06257613567674394	0.11522901479407809	-0.003900323482647173	-0.09676530351936445	0.18554836372171174	-0.0008506983540573633	0.0008506983540573633	M02	2	age_DMR	age_DMR	cluster_6406	chr6	40359007	40359130	124	2	-0.039827347	69
cluster_6171	0.021250280367365745	-0.05886813429899046	-0.05915379694133149	0.021250280367365745	1.0	0.12090633409624689	-0.047867291752230715	0.03788258060215646	0.10902707443557427	-0.0036903974179187883	-0.02098001536986678	0.040229373351328604	-0.001250964358557287	0.001250964358557287	M04	4	age_DMR	age_DMR	cluster_6171	chr6	29555799	29556229	431	4	0.026677932	70
cluster_2324	0.020674366566264403	-0.07125681657217904	-0.015666913292727278	0.020674366566264403	1.0	0.16348324204261896	0.11345290602233765	-0.0897875918944129	0.059275629961889335	-0.0020063881644932975	-0.10169369811582885	0.19499860590449883	-0.0014731895461582937	0.0014731895461582937	M14	14	age_DMR	age_DMR	cluster_2324	chr13	114865944	114866221	278	2	-0.070097421	71
cluster_2126	0.020437472066274085	-0.014718125637377278	0.011014421933673576	0.020437472066274085	1.0	0.24159519659773313	0.0339325667823195	-0.026854521096012718	0.1907495161993428	-0.006456575357043835	-0.14433101537915338	0.2767560557750526	-0.00030080128158181056	0.00030080128158181056	M02	2	age_DMR	age_DMR	cluster_2126	chr13	22058122	22058128	7	2	0.054376277	72
cluster_3133	-0.020431413895555767	0.04201056394598427	0.018679022090788467	0.020431413895555767	-1.0	0.13911328953914975	0.1381082363952787	-0.10930002942608523	-0.009385415485905272	0.0003176817616595473	-0.01380349022334773	0.02646832006348507	-0.0008583352199661172	0.0008583352199661172	M14	14	age_DMR	age_DMR	cluster_3133	chr16	88717755	88717989	235	3	-0.018315712	73
cluster_915	-0.019993534209649107	0.11713454542238527	0.0023265884675635617	0.019993534209649107	-1.0	0.09976559398126028	0.09333188007294985	-0.07386364133395022	0.03508665787273203	-0.0011876289654405435	-0.0033556435752377773	0.006434477565546458	-0.002341933541034157	0.002341933541034157	M07	7	age_DMR	age_DMR	cluster_915	chr10	74714308	74714935	628	4	0.034264481	74
