chr	start	end	Gene	Peak_type	Cluster	Accessibility_2-cell	Accessibility_4-cell	Accessibility_8-cell	Accessibility_Morula	source_file	source_sheet
chr2	69842328	69842853	AAK1	distal	5	-0.772866233	0.285700933	-0.533574158	-1.33739221	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69813536	69814309	AAK1	distal	5	-0.632725426	0.326582248	0.329961013	2.139992885	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69786808	69787731	AAK1	distal	5	-0.23244355600000002	0.28396777100000004	-0.982641885	0.9739165670000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69777128	69777537	AAK1	distal	5	-0.22078242899999997	-0.354148003	-0.22230941	-0.165877849	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69877538	69877982	AAK1	distal	5	-0.23675962899999997	-0.060758762	1.774555974	1.141798203	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69791586	69792945	AAK1	distal	5	-0.285184055	0.17466510000000002	-0.599133013	0.160038022	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69870460	69871909	AAK1	distal	5	-1.354431898	0.09808771699999999	-0.6417776470000001	-0.06637241599999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69887653	69888163	AAK1	distal	5	-0.625356725	-0.419718994	0.597140075	2.189671437	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69843873	69844484	AAK1	distal	5	0.513976337	-1.103962173	0.029691592000000003	-1.16886116	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	69869823	69871677	AAK1	distal	5	-1.0223581590000002	0.140873609	-0.049975232	-0.857450956	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr11	77530341	77532708	AAMDC	promoter	4	-0.37708411700000005	1.297972317	0.79923425	-0.16605022	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	34823895	34824772	AAR2	promoter	4	-1.226014045	0.825440396	0.9217332009999999	-0.152174914	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr16	70322760	70324357	AARS	distal	6	-0.230502655	1.312182585	-0.23904742699999998	0.213253222	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr16	70328182	70329016	AARS	distal	6	-0.353604395	-0.444903192	0.071329172	1.794977997	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr16	70321187	70321763	AARS	distal	6	-0.838313365	0.325734647	1.078902715	0.086200901	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	44280352	44281485	AARS2	promoter	3	0.325750207	0.651957215	0.25845941100000003	-0.268317567	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	41116343	41117065	AARSD1	promoter	4	-0.460817326	-0.061169087999999996	0.918324183	1.44102094	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	121783429	121785193	AASS	distal	5	-0.285574575	0.918517397	-0.042430777	0.738686365	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	121758856	121759263	AASS	distal	5	-0.316843652	-0.47976293600000003	-0.791962265	1.948888451	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	79116497	79117236	AATK	distal	6	0.381401341	-0.705027682	-0.862404114	-0.862752768	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	79105730	79106398	AATK	promoter	6	0.913009765	-0.48962204600000003	-0.985147944	-1.14487365	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	67209384	67210074	ABCA10	distal	3	-0.853399182	-0.10186683	1.3898799419999999	1.6773248930000002	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139929457	139930140	ABCA2	distal	2	1.012623406	-1.415333381	-0.34137894	0.11906495800000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139904216	139905273	ABCA2	distal	2	0.9831560540000001	1.4404414540000001	-0.290562618	-0.350536146	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139907640	139908133	ABCA2	distal	2	-0.677951587	0.014743871	0.320218684	-0.166054946	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139915340	139917806	ABCA2	distal	2	1.0781675929999999	0.394941858	1.4242812669999998	-0.76323558	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139912265	139913070	ABCA2	distal	2	0.194797074	1.026416562	0.539686297	0.608744845	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139907565	139908106	ABCA2	promoter	2	-0.817851608	0.198199765	1.078262788	1.326257634	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr9	139922266	139924335	ABCA2	distal	2	0.589959181	-0.551372558	-1.014213152	-0.558462056	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr16	2346601	2347256	ABCA3	distal	2	-0.353167259	-1.2619765379999999	-0.704354175	0.385748981	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr16	2389825	2392084	ABCA3	distal	2	-0.239938795	-0.6243122179999999	-1.006465718	1.607408566	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1066897	1067502	ABCA7	distal	1	0.652169468	0.561272724	0.096002055	-0.71348508	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1064173	1066337	ABCA7	distal	1	1.238928339	0.39886671799999995	-0.420780085	-0.132217159	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1074221	1075229	ABCA7	distal	1	0.0856076	1.296329622	-0.555215539	-0.591736386	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1049946	1050396	ABCA7	distal	1	-0.42351433200000005	0.784217463	1.79407118	0.037561165	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1067129	1067544	ABCA7	promoter	1	0.124173691	0.641600787	-0.101269241	0.518014326	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1071259	1071799	ABCA7	distal	1	0.008831651	-0.512013012	-0.630754014	-0.8433510940000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1064363	1066803	ABCA7	distal	1	0.499084756	0.19020226699999998	-0.989312037	-1.36664676	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	87130420	87130780	ABCB1	distal	3	0.48919281600000003	1.820387551	0.059428877000000005	-1.034442855	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	87330850	87331340	ABCB1	distal	3	-0.669513586	-0.526596308	1.224624257	1.883403179	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	87229701	87230108	ABCB1	distal	3	-0.10814819099999999	0.806492359	0.885712982	1.028684048	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	87256741	87258765	ABCB1	distal	3	0.158191156	-0.04374541	0.571692709	0.33951689	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	220090433	220092457	ABCB6	distal	1	0.188214068	0.087885881	1.831654214	-0.503620959	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	220086819	220087333	ABCB6	distal	1	0.449247458	-0.22106712	2.151954901	0.04596403599999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	220093648	220095285	ABCB6	distal	1	-0.9081433659999999	0.96796335	-0.009952545	-0.447519685	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	220070872	2200725191	ABCB6	distal	1	0.317875505	0.09358832	0.001507279	-0.456824375	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr2	220093302	220095207	ABCB6	distal	1	0.603411629	-0.808628296	0.619556616	0.8458551740000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150753029	150754327	ABCB8	distal	4	-0.182489023	0.659562612	0.566010649	-0.612568029	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150754712	150760765	ABCB8	distal	4	0.489580933	-0.549309409	1.200640366	-0.7254028309999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150747944	150749891	ABCB8	distal	4	0.906065213	-1.282453204	-0.774204303	0.643173146	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150747800	1507488541	ABCB8	distal	4	0.827036358	-0.473759924	-0.296882821	0.7124031059999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150754510	150755776	ABCB8	distal	4	-0.216337683	0.47490519200000003	-0.26614794199999997	0.126897456	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123436442	123437238	ABCB9	distal	1	0.79830903	-0.597101739	-0.791594967	-0.383868475	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123476136	123476452	ABCB9	distal	1	-0.153096491	-0.645627298	0.32804507899999996	-1.0455892340000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123401899	123402789	ABCB9	distal	1	0.557944306	-0.046827455	-0.995418147	-1.03230756	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123448850	123449361	ABCB9	distal	1	0.38424478799999995	1.4478707530000001	-0.6790630520000001	-1.3958555680000002	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123464542	123467254	ABCB9	distal	1	0.080533692	-0.12816498099999998	0.16919283699999998	-0.034616608	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123458374	123460103	ABCB9	distal	1	-0.9180193529999999	0.31665818	0.30625746800000003	1.704258104	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123431249	123432387	ABCB9	distal	1	0.37208512	1.16845932	-0.727642235	-0.971188893	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123450188	123451518	ABCB9	distal	1	0.79350646	-0.313013148	0.6555944810000001	-0.46623155899999996	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr12	123458680	123460328	ABCB9	distal	1	-0.5782519660000001	0.9851271490000001	0.170219727	-0.19440949300000002	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	43393428	43394439	ABCC10	promoter	3	-0.741919496	0.290039533	0.005907417	1.877109421	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	43422106	434236591	ABCC10	distal	3	-0.71282092	0.328301109	-0.075872446	0.19898015	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	43394792	43395935	ABCC10	distal	3	-0.720552188	-0.169673328	0.07326116	0.7937512459999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	48735960	48736826	ABCC3	distal	2	0.18625476	0.398955877	-0.177254943	-2.105034753	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150929182	150930103	ABCF2	distal	3	0.505594248	0.055926763	-1.0897007909999998	0.937642577	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150920815	150921963	ABCF2	distal	3	0.152826169	-0.43705431200000006	0.742531486	1.9084555980000002	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150925016	150925787	ABCF2	distal	3	-0.327336086	0.287047943	0.5260732220000001	2.124930273	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150923533	150924961	ABCF2	distal	3	-0.154673324	-0.595459349	0.69789243	0.272484805	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150901281	150901634	ABCF2	distal	3	1.418207135	-0.964587467	-1.2463615590000001	-0.338487049	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr7	150921314	150922077	ABCF2	distal	3	-0.762342393	-0.390054743	1.1907358270000001	0.72810919	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	111697513	111698367	ABHD10	promoter	1	0.586662616	-0.064546381	0.219819588	-0.23285168399999998	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25370723	25371981	ABHD12	distal	2	-0.466178881	0.872100471	1.068178363	-0.137603136	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25362561	25363009	ABHD12	distal	2	0.334535163	-0.371113176	-1.140420891	-0.8398490959999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25341255	25341723	ABHD12	distal	2	-0.536192832	0.62733723	-0.6574738179999999	-0.293569013	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25378978	25379524	ABHD12	distal	2	-0.929239044	-0.5440873589999999	-0.42247213299999997	0.209650938	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25363330	25364233	ABHD12	distal	2	0.207162514	-0.388259157	-0.080233315	-1.153902143	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25370257	25371919	ABHD12	distal	2	-1.1691545970000001	0.34392377700000004	0.565612333	0.143520171	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25280115	25283693	ABHD12	promoter	2	-0.16613861	-0.9685653040000001	0.225739944	1.7565370230000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25301736	25302304	ABHD12	distal	2	-0.632770422	-1.002860944	0.642763917	-0.5235826570000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25290781	25291377	ABHD12	distal	2	-1.034063048	-0.26201548	0.265948642	-0.314425513	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr20	25365189	25365605	ABHD12	distal	2	-0.224160091	-0.86853771	-0.708399662	-0.941358852	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr14	51349652	51350129	ABHD12B	promoter	6	-0.20939329399999998	-1.043749796	-0.502260725	-0.864812088	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	52020148	52021901	ABHD14B	distal	1	-0.28500960399999997	-1.0873927620000001	1.46715962	0.650882623	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	52025155	52027139	ABHD14B	distal	1	-0.961888328	-0.750995702	1.5455286169999998	0.9910248840000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	27899725	27900895	ABHD15	distal	1	-0.567686302	0.184813255	0.30677665	0.7480874590000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	27893246	27896900	ABHD15	distal	1	-0.021386276	0.9226625559999999	-0.12430788300000001	1.601917026	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	27892773	27894849	ABHD15	distal	1	-0.913167197	0.012956735	0.190550787	1.85105449	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1887188	1888388	ABHD17A	distal	4	0.058054821	0.25265971800000003	0.883544223	0.46408751299999995	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1895011	1895906	ABHD17A	distal	4	-0.524071851	0.122839175	1.9848697030000002	0.42875331200000005	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	1886965	1887977	ABHD17A	distal	4	-0.865783986	0.089191101	0.277323424	2.077018519	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr15	80986957	80988658	ABHD17C	distal	4	0.328130785	-0.077997829	0.146829563	1.219886759	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr15	80986907	80988497	ABHD17C	distal	4	-0.703847338	-0.195681942	1.049774782	-0.328317	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr15	80971819	80972541	ABHD17C	promoter	4	0.481114958	-0.816649002	-0.82633299	0.01070469	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr15	81017994	81020088	ABHD17C	distal	4	-0.356214917	-0.359154132	0.98360235	1.946091141	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	43777998	43778787	ABHD5	distal	3	-0.7135163290000001	-1.281540967	-0.348990521	1.041810585	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	58222398	58224565	ABHD6	distal	1	-0.041237419	-0.8108534000000001	-0.261419788	-0.588588362	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	58231889	58232830	ABHD6	distal	1	-1.061065877	1.263926879	0.558640415	0.169531553	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	58280572	58281473	ABHD6	distal	1	-0.6275918429999999	-0.39732545799999996	1.215903888	1.871393273	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	58235217	58235700	ABHD6	distal	1	0.255775537	-0.6590675420000001	-0.113940296	-1.185209505	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	58273925	58274834	ABHD6	distal	1	-0.5756579620000001	-0.709812034	0.413070414	1.862948074	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	17422330	17423229	ABHD8	distal	3	0.083046791	-0.7236381059999999	-0.898282385	-0.45637363200000003	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	17415635	17417460	ABHD8	distal	3	-1.086860957	-0.629833744	-0.428287307	1.6057392169999998	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	17427983	17428759	ABHD8	distal	3	0.241144088	-0.205757042	1.873988524	-0.327446342	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	17412996	17414914	ABHD8	distal	3	0.629135008	0.322061124	-0.7081318090000001	-1.0066343420000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr1	179133473	179133848	ABL2	distal	2	0.019085584	-0.746167334	0.091398985	2.2501096819999997	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr1	179197813	179199225	ABL2	distal	2	-1.529197009	-0.335125794	-0.500656989	1.395863535	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	7966227	7967659	ABLIM2	distal	2	0.267174722	-0.575712144	-0.663494082	-1.320801079	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	8159084	8159534	ABLIM2	distal	2	1.1850584990000002	0.158271997	-1.134724969	-0.263544242	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	7979890	7981750	ABLIM2	distal	2	-0.247517228	0.862279569	-0.769667977	-1.074373015	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	7971415	7972974	ABLIM2	distal	2	0.8983597170000001	-0.48232744200000005	-0.55607059	-1.513509665	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	8119008	8119515	ABLIM2	distal	2	-0.651329994	-0.001529854	0.285028364	-0.171132664	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	7957899	7959224	ABLIM2	distal	2	0.265358365	-0.027313992000000002	-0.411978722	-0.7497550270000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	7973005	7975094	ABLIM2	distal	2	0.56405414	-0.892369594	-1.172306723	-1.3809948769999998	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	8118871	8119501	ABLIM2	distal	2	0.484777189	-0.223528427	0.085770145	-0.40659038	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr4	8159696	8161759	ABLIM2	distal	2	1.2783397090000002	0.7307600470000001	-1.483740221	-0.640099223	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr5	148644165	148644509	ABLIM3	distal	6	-0.26117365600000003	1.227998804	-0.744321315	0.36695778100000004	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr5	148520711	148521781	ABLIM3	promoter	6	0.209722345	-0.234701529	0.43459678700000004	0.661743052	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr5	148568007	148568468	ABLIM3	distal	6	-0.701659879	0.775736816	0.839538557	1.6525198319999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1015698	1016459	ABR	distal	6	0.41478333100000003	1.950933892	0.080931067	-0.17823372	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1041745	1042501	ABR	distal	6	-0.403434498	-0.7728497590000001	0.245642618	1.997649831	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1116745	1117300	ABR	distal	6	-0.66625788	-0.333306647	1.063247144	1.462820615	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	990621	991097	ABR	distal	6	0.003525312	-0.8257334009999999	0.919471832	0.748964802	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1119409	1120408	ABR	distal	6	-0.8931756670000001	-1.097156717	0.377496944	0.978437212	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1050695	1051420	ABR	distal	6	-1.312912637	0.035152491	0.407775945	1.958202836	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	954647	955029	ABR	distal	6	0.120267129	1.744612425	0.8464115740000001	-0.32505366	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1006268	1006943	ABR	distal	6	-0.471752596	0.6531015379999999	0.066774157	0.55555806	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1010475	1013643	ABR	distal	6	0.290939558	-0.192708203	-1.060348503	1.5507168390000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1025340	1026544	ABR	distal	6	-0.597919742	0.63008155	1.238097403	1.220145841	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1080584	1081186	ABR	distal	6	-0.7758140020000001	-0.365340486	1.465692631	1.150798577	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1113644	1114295	ABR	distal	6	-0.620170608	-0.34263233200000004	0.9016897140000001	1.9130650980000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1126896	1128131	ABR	distal	6	0.166939284	-0.9093344259999999	-0.527946528	-0.286563991	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1026165	1026818	ABR	distal	6	-0.76494069	-0.296776678	1.7916012030000001	-0.41897106799999995	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1080635	1081218	ABR	distal	6	-0.669081665	1.214140682	0.232515782	-0.206710947	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1089992	1090936	ABR	distal	6	-0.135026314	-1.046971994	-0.18091527899999998	-0.123855044	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	981674	982448	ABR	promoter	6	0.16206320300000002	0.173458683	0.340989444	-0.030449853	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	961655	962115	ABR	distal	6	-1.3952670719999998	-0.397292078	0.033380007	1.6408413290000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	899726	9007281	ABR	distal	6	-1.027838239	1.288928388	-0.355480797	0.25477207	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	959243	960281	ABR	distal	6	-0.022218376	-0.335223487	-1.013911818	0.787661988	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1006357	1007005	ABR	distal	6	0.523927977	-0.242005978	0.092457385	-0.439962005	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr17	1131010	1133445	ABR	distal	6	0.071132893	-0.033926088	-0.636410879	0.333874865	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	139344415	139345055	ABRACL	distal	4	-0.46581834899999996	-0.065332397	-0.683782505	2.33041981	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	139349485	139351096	ABRACL	distal	4	0.55247488	-0.581854214	1.148242191	-0.692126713	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	26596725	26597586	ABT1	distal	3	0.23450476399999998	0.638497367	0.81665584	0.533052205	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	26596798	26597779	ABT1	distal	3	0.879347158	-0.40860689	-0.264343536	0.12270110599999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr6	26595720	26596552	ABT1	promoter	3	-0.920471348	-0.052313711	0.330538938	-0.2789095	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	127390376	127392522	ABTB1	promoter	5	0.21701904600000002	-0.026069062999999996	0.57584194	1.0361768009999999	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr3	127409586	127410168	ABTB1	distal	5	-0.184589053	0.741184172	-1.640984819	-0.37861330299999996	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	19051618	19052301	AC002985.3	distal	4	-0.66698282	-0.547436237	0.642835805	1.8971448690000001	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	19029617	19031065	AC002985.3	distal	4	-0.095421691	1.7271195030000002	-0.39142307299999995	0.411305223	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	19042476	19043897	AC002985.3	distal	4	-0.12291398099999999	-0.561045272	0.335930102	0.095423019	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
chr19	58257811	58258618	AC003006.7	distal	5	-0.691579836	0.070318463	-0.127525219	-0.437138724	Liu2019_NatComm_SuppData2.xls	tab_delimited_text
