cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank	width_bin	cpg_bin	overlap_GSE101571_8cell_2pn	overlap_GSE101571_8cell_3pn	overlap_GSE101571_icm_2pn	overlap_GSE101571_icm_3pn
cluster_2743	-0.1179709977870684	-0.1202883536470436	0.0647327980914881	0.1179709977870684	-1.0	0.2074601245869989	0.1609418409506492	-0.1273707376976949	0.0689851059148581	-0.0023350388704915	0.1112586279215451	-0.2133394471979748	0.0141905371019055	0.0141905371019055	M07	7	age_DMR	age_DMR	cluster_2743	chr15	96894342	96894509	167	2	-0.030119887	11	1	0	False	False	False	False
cluster_6960	-0.1150872869677093	-0.3775473110042004	-0.0294125655390093	0.1150872869677093	-1.0	0.1791530463718871	0.154407210060636	-0.1221991753983774	-0.0149187207912986	0.0005049755665909	0.089619525080026	-0.1718462675290222	0.0434508957254274	0.0434508957254274	M01	1	age_DMR	age_DMR	cluster_6960	chr7	76828885	76829845	960	3	0.062913074	12	4	2	False	False	False	False
cluster_1742	0.1109335240179164	-0.1331750572473411	-0.1327290821862098	0.1109335240179164	1.0	0.1956444230258601	-0.1346038234379437	0.1065266072946086	-0.0093652186295668	0.0003169981293886	-0.1416716049779524	0.2716566117547216	-0.0147735784117353	0.0147735784117353	M08	8	age_DMR	age_DMR	cluster_1742	chr12	11151430	11151622	192	4	0.010894564	13	2	3	False	False	False	False
cluster_6655	-0.1006123569637234	0.0154228829055978	-0.0706384023935631	0.1006123569637234	-1.0	0.1772966720801987	0.1561227791824495	-0.1235568913492207	0.0150853435827077	-0.0005106154897235	0.0826572450548244	-0.1584960312411775	-0.0015517326003077	0.0015517326003077	M01	1	age_DMR	age_DMR	cluster_6655	chr6	168963358	168963731	373	3	0.116026458	14	3	2	False	False	False	False
cluster_4404	-0.0972246935380607	-0.1596365114228725	-0.0716297219788286	0.0972246935380607	-1.0	0.1810374585136711	0.1583179032370319	-0.125294131140431	-0.0514651902376142	0.0017420168902892	0.0711430748107301	-0.1364175033938757	0.0155206109005739	0.0155206109005739	M01	1	age_DMR	age_DMR	cluster_4404	chr2	74607470	74607600	130	4	-0.034161596	15	1	3	False	False	False	False
cluster_543	0.0903190284088766	-0.2616224767233678	-0.4661553010544099	0.0903190284088766	1.0	0.1239643738399855	-0.053687263036474	0.0424885552292317	0.0563092209062872	-0.0019059798175211	-0.0965096648534181	0.1850581742173627	-0.0236294879075785	0.0236294879075785	M08	8	age_DMR	age_DMR	cluster_543	chr1	198828060	198828249	189	5	0.018045133	16	1	3	False	False	False	False
cluster_4026	0.0834739790170535	0.3758244911517803	0.2508421755148864	0.0834739790170535	1.0	0.1566555696022776	0.0439350543585927	-0.0347705745838848	-0.0943626350471195	0.0031940288825385	-0.1170742140391541	0.2244908873212324	0.0313715656884985	0.0313715656884985	M03	3	age_DMR	age_DMR	cluster_4026	chr19	39806522	39806765	243	2	-0.028841341	17	2	0	False	False	False	False
cluster_4904	0.079519979974636	-0.2204698686929519	-0.279530131307048	0.079519979974636	1.0	0.148021482007098	-0.0598965756595554	0.0474026578934357	0.0315293395778522	-0.001067219256952	-0.1316383686681861	0.252417788412036	-0.0175317595434741	0.0175317595434741	M12	12	age_DMR	age_DMR	cluster_4904	chr21	31661731	31661998	267	2	0.033716782	18	2	0	False	False	False	False
cluster_6651	-0.0778453896585507	-0.0738380012452566	-0.0629214900756381	0.0778453896585507	-1.0	0.1749216410627069	0.1552039818434537	-0.1228297473438376	0.0507288507898726	-0.0017170929417129	0.0627366577811267	-0.1202981210545943	0.0057479479785455	0.0057479479785455	M01	1	age_DMR	age_DMR	cluster_6651	chr6	168867541	168867685	144	3	0.028197967	19	1	2	False	False	False	False
cluster_5923	0.0774541554875099	-0.2132750716026255	-0.1638854222245348	0.0774541554875099	1.0	0.1514917617104683	-0.0321747247224669	0.0254633499835354	0.0630938161649986	-0.0021356278471871	-0.1339168074474304	0.2567867158266467	-0.0165190405575195	0.0165190405575195	M09	9	age_DMR	age_DMR	cluster_5923	chr5	120191823	120192115	292	2	0.033485903	20	3	0	False	False	False	False
cluster_242	0.0773625907521746	-0.0128289750485122	-0.1991193787419469	0.0773625907521746	1.0	0.204471231201669	0.1204840596060148	-0.0953521064639546	-0.0807799363940376	0.0027342755937595	-0.1441064802365109	0.2763255075640713	-0.0009924827464479	0.0009924827464479	M01	1	age_DMR	age_DMR	cluster_242	chr1	33231070	33231109	39	2	-0.017895363	21	0	0	False	False	False	False
cluster_6087	-0.0747346449206742	0.4452380336659061	0.045873077445205	0.0747346449206742	-1.0	0.1554486838462534	0.1295933151226095	-0.1025612485252861	0.0628781790255892	-0.0021283288643738	0.0584482727502741	-0.1120751031282964	-0.0332747063512007	0.0332747063512007	M10	10	age_DMR	age_DMR	cluster_6087	chr6	2437142	2437147	5	2	0.055167825	22	0	0	False	False	False	False
cluster_6495	0.074610828498747	-0.2050325310592071	-0.0386695185251952	0.074610828498747	1.0	0.15769411080267	-0.0562161070941744	0.044489903860819	0.0603492762759148	-0.0020427294274827	-0.1344066469263867	0.2577259875542288	-0.0152976470115225	0.0152976470115225	M09	9	age_DMR	age_DMR	cluster_6495	chr6	130182053	130182551	498	6	0.010966867	23	3	3	False	False	False	False
cluster_7072	-0.0731353853165772	-0.487504142266471	-0.1357192775362327	0.0731353853165772	-1.0	0.1520134020589749	0.1458155691746288	-0.1153996779450087	-0.0177539584491341	0.0006009439651362	0.0391240482466861	-0.0750207240644802	0.0356538032880858	0.0356538032880858	M01	1	age_DMR	age_DMR	cluster_7072	chr7	132435910	132436239	329	2	0.082616718	24	3	0	False	False	False	False
cluster_2190	0.0710896289019975	-0.1772726933756937	-0.1782828621798618	0.0710896289019975	1.0	0.1591115694154581	-0.0481020353884071	0.038068358706427	0.0605742808770318	-0.0020503454843501	-0.1390447489464202	0.2666195910390703	-0.0126022499865356	0.0126022499865356	M12	12	age_DMR	age_DMR	cluster_2190	chr13	58299015	58299073	58	2	0.067321522	25	0	0	False	False	False	False
cluster_587	-0.0693649918891212	0.3273820336421468	0.0763216700615568	0.0693649918891212	-1.0	0.2159173090614892	-0.0044242250611157	0.0035013692303155	0.1856130037053398	-0.0062827123735316	0.1102203404115808	-0.2113485213026406	-0.0227088521082315	0.0227088521082315	M05	5	age_DMR	age_DMR	cluster_587	chr1	213122829	213123025	196	2	-0.017575416	26	2	0	False	False	False	False
cluster_125	-0.0639287189875389	-0.1479264643930105	0.0165938463937258	0.0639287189875389	-1.0	0.2033748686770908	0.2033260645404944	-0.1609139716603163	0.0032686018884233	-0.0001106371057986	-0.0030273634723345	0.0058049974345416	0.0094567493730009	0.0094567493730009	M07	7	age_DMR	age_DMR	cluster_125	chr1	6529710	6530205	495	2	-0.020406298	27	3	0	False	False	False	False
cluster_5002	-0.0620667827294791	-0.3262877823532926	-0.0692425859295732	0.0620667827294791	-1.0	0.1715543673598173	0.1696001634112368	-0.1342230075146391	-0.0197063207648708	0.0006670284022922	0.0166837182013169	-0.031991183827879	0.0202516328946053	0.0202516328946053	M01	1	age_DMR	age_DMR	cluster_5002	chr22	26829758	26830041	283	3	0.073881417	28	3	2	False	False	False	False
cluster_643	0.0618002006883134	0.632262633850145	0.0607590152627167	0.0618002006883134	1.0	0.1011943853665421	-0.0388742200333113	0.0307653873835311	0.0250115911723228	-0.0008466035795074	-0.0900195476190728	0.1726133144443153	0.0390739576596605	0.0390739576596605	M13	13	age_DMR	age_DMR	cluster_643	chr1	236192895	236192973	78	3	0.045617076	29	1	2	False	False	False	False
cluster_832	0.0616692971968747	0.050238455039243	-0.0865082963090844	0.0616692971968747	1.0	0.1924324018912178	0.1079577773366572	-0.0854387004544703	-0.0497784282897166	0.0016849226137584	-0.151319052624438	0.2901556817704329	0.0030981702145269	0.0030981702145269	M01	1	age_DMR	age_DMR	cluster_832	chr10	17347047	17347391	344	3	0.093944091	30	3	2	False	False	False	False
cluster_5679	-0.0613185877440524	0.0119105178228674	-0.0828426565086882	0.0613185877440524	-1.0	0.1180060944666299	0.0737705751502092	-0.0583826587403497	0.0638624277586354	-0.0021616441578624	0.06636965341214	-0.127264423750144	-0.0007303361321985	0.0007303361321985	M01	1	age_DMR	age_DMR	cluster_5679	chr4	186427685	186427765	80	3	0.024534686	31	1	2	False	False	False	False
cluster_1387	0.0591703250537913	-0.0011402334070978	-0.1393359570690927	0.0591703250537913	1.0	0.1532397446635056	-0.0193582728881351	0.0153203013197241	0.0719704377256174	-0.0024360877233851	-0.133895230344131	0.2567453415316727	-6.746798133517158e-05	6.746798133517158e-05	M12	12	age_DMR	age_DMR	cluster_1387	chr11	59824038	59824089	51	2	0.027980847	32	0	0	False	False	False	False
cluster_6114	-0.0590051237513787	-0.1988417963159236	-0.0970905295285117	0.0590051237513787	-1.0	0.1658284212962389	0.1652131247025047	-0.1307510678789362	-0.0065858140868744	0.000222919595219	0.0126615871221048	-0.0242787103143463	0.0117326847985675	0.0117326847985675	M01	1	age_DMR	age_DMR	cluster_6114	chr6	7248862	7248983	121	3	0.03469714	33	1	2	False	False	False	False
cluster_1764	-0.0569407704222629	0.3504452358186836	0.1024959406519046	0.0569407704222629	-1.0	0.1908085128506311	-0.0186661231305814	0.0147725281322413	0.1551307575884885	-0.0052509356066656	0.109516722346704	-0.2099993271609946	-0.0199546217183274	0.0199546217183274	M15	15	age_DMR	age_DMR	cluster_1764	chr12	25801455	25801621	166	4	0.045710488	34	1	3	False	False	False	False
cluster_5661	0.0516704121145394	0.1684765781676832	-0.1590321337232384	0.0516704121145394	1.0	0.1781059747072654	0.122301384147463	-0.0967903525167716	-0.0166163947259085	0.0005624391969523	-0.1284056271677863	0.2462189767107488	0.0087052542255716	0.0087052542255716	M01	1	age_DMR	age_DMR	cluster_5661	chr4	177190237	177190421	184	5	0.055498035	35	1	3	False	False	False	False
cluster_6975	-0.0499656462751898	0.1711368283058644	0.1140483568793206	0.0499656462751898	-1.0	0.1141073559387794	0.0633382300725208	-0.0501264123807125	0.0381755463501552	-0.001292183050931	0.0868987051197362	-0.166629070111643	-0.0085509622277887	0.0085509622277887	M03	3	age_DMR	age_DMR	cluster_6975	chr7	94927713	94928249	536	2	0.037164296	36	4	0	False	False	False	False
cluster_3348	0.047389319232879	0.8828949967479023	0.091463977611072	0.047389319232879	1.0	0.1183438996955896	-0.0297058545703696	0.0235094652094145	0.078344625692128	-0.0026518441025663	-0.0835760756709967	0.1602578974387457	0.041839792849998	0.041839792849998	M02	2	age_DMR	age_DMR	cluster_3348	chr17	38911538	38911540	2	2	0.023898612	37	0	0	False	False	False	False
cluster_5977	0.0462132483412721	0.854957231281879	0.077018513649888	0.0462132483412721	1.0	0.1105417275128088	-0.0372905979808458	0.0295120954622667	0.0715367404901885	-0.0024214077444343	-0.0755736699107992	0.1449132104420815	0.0395103508503958	0.0395103508503958	M06	6	age_DMR	age_DMR	cluster_5977	chr5	147040667	147040773	106	3	0.060793808	38	1	2	False	False	False	False
cluster_4909	0.0455104341629633	-0.3182889463960755	-0.2917110536039242	0.0455104341629633	1.0	0.1097000246660427	-0.0585791842920642	0.0463600631938673	0.0785668986948029	-0.0026593676990619	-0.0492931740597754	0.0945201167855638	-0.0144854681397575	0.0144854681397575	M15	15	age_DMR	age_DMR	cluster_4909	chr21	32014696	32015231	535	2	0.023414564	39	4	0	False	False	False	False
cluster_1718	0.0448208684134199	0.5260137442757669	0.0270653780271027	0.0448208684134199	1.0	0.1364618767163422	-0.0450285151597167	0.0356359487343234	0.1010601522497824	-0.0034207294550259	-0.0798819269090833	0.1531743330495692	0.0235763928158344	0.0235763928158344	M00	0	age_DMR	age_DMR	cluster_1718	chr12	7188165	7188426	261	3	0.013745268	40	2	2	False	False	False	False
cluster_6532	0.043380022403273	-0.1508089083757917	-0.0710484353946067	0.043380022403273	1.0	0.0972738440236761	-0.0082029110630057	0.0064918533750586	0.002071086142987	-7.010305462138343e-05	-0.0969052299074886	0.1858166738640214	-0.0065420938239549	0.0065420938239549	M09	9	age_DMR	age_DMR	cluster_6532	chr6	152702330	152702463	133	5	0.037280463	41	1	3	False	False	False	False
cluster_2365	-0.0420659517157953	-0.2011247685869611	-0.12600361306887	0.0420659517157953	-1.0	0.1886369642346715	0.1747135474565342	-0.1382697830090294	-0.0699994823963181	0.0023693739415494	-0.0126155885742065	0.0241905076736716	0.0084605048042296	0.0084605048042296	M07	7	age_DMR	age_DMR	cluster_2365	chr14	24630327	24630512	185	6	-0.041337281	42	1	3	True	True	True	False
cluster_1758	0.0414697851795486	-0.0733538738434078	-0.4029424224528884	0.0414697851795486	1.0	0.1212749467296779	0.0773762583235558	-0.0612362269795383	0.0299608962810454	-0.0010141298833019	-0.0884470013407408	0.1695979424234672	-0.0030419693903738	0.0030419693903738	M01	1	age_DMR	age_DMR	cluster_1758	chr12	20848285	20848473	188	2	0.027213681	43	1	0	False	False	False	False
cluster_6604	0.0406870160028717	0.0188763636429051	-0.1183320005985421	0.0406870160028717	1.0	0.1461457119989195	0.0583515834576686	-0.0461799379634962	-0.0370238648427687	0.0012532004176436	-0.1287745909555074	0.2469264681833561	0.0007680229096149	0.0007680229096149	M03	3	age_DMR	age_DMR	cluster_6604	chr6	167173257	167173343	86	2	0.013598211	44	1	0	False	False	False	False
cluster_3519	-0.0396155009392248	-0.1063892352656097	-0.0747065562403012	0.0396155009392248	-1.0	0.1193410200293724	0.1166328091540949	-0.0923041941981191	-0.0228493631091984	0.0007734155122093	0.0108154286082224	-0.0207386843033367	0.0042146628495881	0.0042146628495881	M01	1	age_DMR	age_DMR	cluster_3519	chr17	76481380	76481729	349	2	0.033654647	45	3	0	False	False	False	False
cluster_916	0.0347796982761695	0.9090601814082284	0.0909398185917714	0.0347796982761695	1.0	0.0753836820597355	-0.0404516779189338	0.0320138009308844	-0.0058041467420806	0.0001964613676106	-0.0633456640585805	0.1214658962195342	0.0316168388242581	0.0316168388242581	M02	2	age_DMR	age_DMR	cluster_916	chr10	74870240	74870311	71	2	-0.025276367	46	0	0	True	False	False	False
cluster_3684	0.0330316810641798	-0.0536562606326222	-0.0285659615896	0.0330316810641798	1.0	0.1385491388853214	-0.0102854790354376	0.0081400153283917	0.0905323215568738	-0.0030643787099791	-0.104374190106551	0.2001384740675551	-0.0017723564883132	0.0017723564883132	M02	2	age_DMR	age_DMR	cluster_3684	chr18	61817088	61817320	232	3	0.042859403	47	2	2	False	False	False	False
cluster_1556	-0.0326013937956062	-0.0348835450245883	0.001550211691255	0.0326013937956062	-1.0	0.1249298954134831	-0.0151852448660744	0.0120177315562403	0.0578146860716429	-0.0019569374790722	0.1097011813100413	-0.2103530289278081	0.0011372521883333	0.0011372521883333	M00	0	age_DMR	age_DMR	cluster_1556	chr11	108408950	108408962	12	2	0.027292831	48	0	0	False	False	False	False
cluster_6143	0.0324829247082393	-0.3783579650199369	-0.425345738683767	0.0324829247082393	1.0	0.1156831610136903	-0.0548296186079248	0.0433926251155292	0.0990610256310092	-0.0033530621187225	-0.0237322537143322	0.0455068158107068	-0.0122901732905052	0.0122901732905052	M08	8	age_DMR	age_DMR	cluster_6143	chr6	25650786	25651144	358	2	0.008409488	49	3	0	False	False	False	False
cluster_5240	0.0306570107148617	-0.0578391991018748	-0.0066052453425695	0.0306570107148617	1.0	0.1271116297808153	-0.0145272204722256	0.0114969654709729	0.0936706901914136	-0.0031706076220666	-0.0846884176847733	0.1623908235294891	-0.0017731769466051	0.0017731769466051	M06	6	age_DMR	age_DMR	cluster_5240	chr3	99904510	99904609	99	3	0.021563529	50	1	2	False	False	False	False
cluster_4364	0.0287617835195389	-0.1705026487486783	-0.0558053784248949	0.0287617835195389	1.0	0.1258775686799564	-0.02242662607506	0.0177486220511586	0.1132406785721321	-0.0038330213845452	-0.0501872240335091	0.0962344658722541	-0.0049039602728174	0.0049039602728174	M04	4	age_DMR	age_DMR	cluster_4364	chr2	44502740	44502977	237	2	0.050410937	51	2	0	False	False	False	False
cluster_950	-0.0286656787681627	-0.5422194754125403	-0.1245706480442495	0.0286656787681627	-1.0	0.0824425352754101	0.0774901282486253	-0.0613263446038429	0.0205008154663924	-0.0006939208160364	0.0192812917581206	-0.0369720551276342	0.0155430893040175	0.0155430893040175	M03	3	age_DMR	age_DMR	cluster_950	chr10	95123718	95123774	56	3	0.033547863	52	0	2	False	False	False	False
cluster_1523	0.0286577847525831	0.3269253331601478	0.0526781893094352	0.0286577847525831	1.0	0.1618202530838742	-0.0183485011593469	0.0145211594108064	0.1457717594507173	-0.004934148031279	-0.0678212426897115	0.1300478596042514	0.00936895582787	0.00936895582787	M06	6	age_DMR	age_DMR	cluster_1523	chr11	74978433	74978559	126	2	0.066262174	53	1	0	True	True	False	False
cluster_4907	0.0281918746673707	-0.1481369219125609	-0.0517860350793616	0.0281918746673707	1.0	0.1211259443754218	-0.093233411077559	0.0737857121359915	0.0772132535326551	-0.0026135489092151	-0.0041399201178998	0.0079383350837234	-0.004176257536169	0.004176257536169	M08	8	age_DMR	age_DMR	cluster_4907	chr21	31802169	31802829	660	2	0.025709315	54	4	0	False	False	False	False
cluster_3660	-0.0267335027684852	-0.1384784140174488	-0.0199078293687945	0.0267335027684852	-1.0	0.142640008386947	-0.0348643849438983	0.0275919698908031	0.1239317918827096	-0.0041948989930226	0.0614130085230544	-0.1177600113701904	0.0037020130645109	0.0037020130645109	M04	4	age_DMR	age_DMR	cluster_3660	chr18	28742633	28743074	441	2	0.042266849	55	3	0	False	False	False	False
cluster_5064	-0.0265140525538444	-0.0879850730218878	0.007025181430767	0.0265140525538444	-1.0	0.1541279832491774	0.1533915061790784	-0.121395338733454	0.005854037389548	-0.0001981500886695	-0.0138640289531662	0.0265844036373599	0.0023328408500561	0.0023328408500561	M07	7	age_DMR	age_DMR	cluster_5064	chr22	46370644	46371152	508	2	-0.024982701	56	3	0	False	True	False	True
cluster_4532	0.0255573795701712	0.8219627057393586	0.122616418839766	0.0255573795701712	1.0	0.0859941465575572	-0.0658322949257108	0.0521002364549265	0.0520454930239334	-0.0017616592398187	-0.018771490161214	0.0359945058544095	0.0210072128631057	0.0210072128631057	M13	13	age_DMR	age_DMR	cluster_4532	chr2	159651559	159651918	359	3	0.015502877	57	3	2	False	False	False	False
cluster_3762	0.0254792161705422	0.5439085813126973	0.0538427414386254	0.0254792161705422	1.0	0.1374411724429662	0.104836798505316	-0.082968731341785	-0.0277953058785472	0.0009408280060295	-0.0844200363229663	0.1618761997880699	0.0138583643202791	0.0138583643202791	M07	7	age_DMR	age_DMR	cluster_3762	chr19	863226	863244	18	2	-0.027459185	58	0	0	True	True	False	False
cluster_6518	0.0249569027227029	0.3466789280921529	0.0218114629557094	0.0249569027227029	1.0	0.0909468298648034	-0.0650235553359134	0.0514601930855369	0.0579414717166449	-0.0019612289765683	-0.0261925365179498	0.0502244308225025	0.0086520322844068	0.0086520322844068	M04	4	age_DMR	age_DMR	cluster_6518	chr6	143929300	143929511	211	3	0.059909335	59	2	2	False	False	False	False
cluster_1715	-0.0242076987155792	-0.0553382167753403	0.0288682197734284	0.0242076987155792	-1.0	0.1095152280751026	0.0111676332429046	-0.0088381596487531	0.0651773788055854	-0.0022061532119068	0.0872970700546527	-0.1673929385556981	0.0013396108791548	0.0013396108791548	M06	6	age_DMR	age_DMR	cluster_1715	chr12	7032991	7033911	920	8	-0.061309439	60	4	3	True	True	True	False
cluster_7425	0.0238933079941673	0.1343635264248507	-0.2364544843129101	0.0238933079941673	1.0	0.1470755285164193	0.1206549725444347	-0.0954873684127433	-0.0023639442562007	8.001584766307082e-05	-0.0840714009413387	0.1612076882220049	0.0032103891200513	0.0032103891200513	M01	1	age_DMR	age_DMR	cluster_7425	chr8	19460935	19461068	133	2	0.051781861	61	1	0	False	False	False	False
cluster_1333	-0.023856994352479	-0.0962872637870186	0.0347323909585231	0.023856994352479	-1.0	0.1668533477934485	0.0130838463260302	-0.0103546669320177	0.1588766820726119	-0.005377729342217	0.0492651248734486	-0.0944663322115753	0.0022971247083825	0.0022971247083825	M04	4	age_DMR	age_DMR	cluster_1333	chr11	44328423	44329915	1492	3	-0.042831806	62	4	2	False	False	False	False
cluster_5928	0.0236668655051044	-0.1478406828267043	-0.0764613114752899	0.0236668655051044	1.0	0.0807177455918894	-0.0476359048895317	0.0376994590768809	0.0577136776337719	-0.0019535185000687	-0.0302540316780675	0.0580123853249413	-0.0034989255566424	0.0034989255566424	M04	4	age_DMR	age_DMR	cluster_5928	chr5	126984765	126984994	229	2	0.052801687	63	2	0	False	False	False	False
cluster_1688	0.0232575833755816	-0.0403084387916406	-0.0041360056528037	0.0232575833755816	1.0	0.1685657029366467	-0.0012289567801716	0.0009726068172479	0.1463949535882795	-0.004955242186543	-0.0835547930141879	0.1602170877476385	-0.0009374768759361	0.0009374768759361	M02	2	age_DMR	age_DMR	cluster_1688	chr12	1738035	1738060	25	2	-0.051417718	64	0	0	False	False	False	False
cluster_5215	0.0225779114774131	0.8148807074730644	0.105520187927831	0.0225779114774131	1.0	0.045535482985006	-0.0403880475693999	0.0319634433326849	0.0008418775309371	-2.8496249050598662e-05	-0.0210137351851727	0.0402940314087879	0.0183983044779786	0.0183983044779786	M13	13	age_DMR	age_DMR	cluster_5215	chr3	63428234	63428840	606	3	0.019791166	65	4	2	False	False	False	False
cluster_1806	0.0225683910443349	0.3884823332011793	0.009879490160644	0.0225683910443349	1.0	0.0678281161017711	-0.0217705850063346	0.0172294255862122	0.0480586908509269	-0.001626712167991	-0.0426269538683253	0.0817375779648731	0.0087674212094998	0.0087674212094998	M06	6	age_DMR	age_DMR	cluster_1806	chr12	49371182	49371310	128	2	-0.025223915	66	1	0	False	False	False	False
cluster_840	0.0225100814059266	-0.0700191165109424	0.025574672066498	0.0225100814059266	1.0	0.0911343606866859	-0.0128824824677915	0.0101953058670639	0.0735439676945128	-0.0024893492729983	-0.0522570393247308	0.100203355820659	-0.0015761360126323	0.0015761360126323	M13	13	age_DMR	age_DMR	cluster_840	chr10	23287263	23287284	21	2	0.08106502	67	0	0	False	False	False	False
cluster_2776	-0.0224303631697264	0.0722998802700893	0.0276458695898482	0.0224303631697264	-1.0	0.1700593554264177	0.1664293967580866	-0.1317136358975788	-0.0274264020990906	0.0009283411850979	-0.0216617804136011	0.0415366641229868	-0.0016217125715858	0.0016217125715858	M14	14	age_DMR	age_DMR	cluster_2776	chr16	685580	685686	106	2	-0.057703016	68	1	0	False	False	False	False
cluster_6406	0.0215921505818914	-0.0393985004333385	0.0171762782111163	0.0215921505818914	1.0	0.1699800230786116	0.0790693267341815	-0.0625761356767439	0.115229014794078	-0.0039003234826471	-0.0967653035193644	0.1855483637217117	-0.0008506983540573	0.0008506983540573	M02	2	age_DMR	age_DMR	cluster_6406	chr6	40359007	40359130	123	2	-0.039827347	69	1	0	False	False	False	False
