cpg_id	cluster_name	chr	start	end	sperm_age_weight_per_year	young_beta_mean	middle_beta_mean	old_beta_mean	old_minus_young_beta	aligned_with_sperm_age_direction	escape_contribution	absolute_delta
cg27312626	cluster_4920	chr21	39627271	39628679	0.0054574154	0.6817822723476399	0.6871166002572143	0.7094661598675989	0.027683887519958983	True	0.00015108247408329197	0.027683887519958983
cg02805028	cluster_2910	chr16	27899239	27899404	0.0082746688	0.4295380275032306	0.4210819716933981	0.44662867464183914	0.017090647138608528	True	0.00014141944464965325	0.017090647138608528
cg26265390	cluster_6651	chr6	168867541	168867685	0.0056395934	0.735780533113179	0.7607934751325648	0.7602045897994096	0.0244240566862306	True	0.00013774174888889196	0.0244240566862306
cg05475172	cluster_5064	chr22	46370644	46371152	-0.0049965402	0.6928699649767	0.6791303548266524	0.6661089930464769	-0.026760971930223088	True	0.00013371227204043125	0.026760971930223088
cg01682917	cluster_2324	chr13	114865944	114866221	-0.0140194841999999	0.605460865233765	0.5845794827937172	0.5960835777156123	-0.0093772875181527	True	0.00013146473419959806	0.0093772875181527
cg03442467	cluster_315	chr1	66797701	66798063	0.0089054872	0.22639210325371825	0.21961671407881447	0.24108514364909328	0.014693040395375029	True	0.00013084868317009526	0.014693040395375029
cg17670366	cluster_5977	chr5	147040667	147040773	0.0121587616	0.7593840930345418	0.7644749108704949	0.7701148883284504	0.010730795293908635	True	0.00013047318175703703	0.010730795293908635
cg06310157	cluster_7095	chr7	140218068	140218338	-0.0129405938	0.7987004311903784	0.8040016778391952	0.7886261157534558	-0.01007431543692261	True	0.00013036762388228502	0.01007431543692261
cg18148488	cluster_4420	chr2	88366775	88367503	0.0074476766	0.8089286163564428	0.823793901342361	0.8263346019182624	0.017405985561819604	True	0.0001296341513687017	0.017405985561819604
cg20252837	cluster_4889	chr20	62574023	62574518	-0.0038428794	0.360983141529838	0.3584704667347111	0.32725898426471944	-0.03372415726511857	True	0.0001295978692364845	0.03372415726511857
cg02192965	cluster_4364	chr2	44502740	44502977	0.0100821874	0.4863602921419634	0.5154729875786355	0.49904931857434703	0.012689026432383621	True	0.00012793314241484508	0.012689026432383621
cg01310473	cluster_6960	chr7	76828885	76829845	0.0125826148	0.6485200311762153	0.6499432443301896	0.6585853815393269	0.010065350363111625	True	0.0001266484264460737	0.010065350363111625
cg01325409	cluster_2637	chr15	48413040	48413344	0.0080268364	0.5977485165961411	0.5902406062866625	0.6134543452137848	0.01570582861764369	True	0.00012606811684026404	0.01570582861764369
cg24950233	cluster_5656	chr4	174457944	174458502	-0.0077630714	0.22113020580764314	0.2198194906434682	0.20489919549571994	-0.0162310103119232	True	0.00012600249194559608	0.0162310103119232
cg14559139	cluster_4420	chr2	88366775	88367503	0.0074476766	0.7318235882152361	0.7330652121727447	0.7484020552826468	0.01657846706741073	True	0.0001234710612418255	0.01657846706741073
cg24437408	cluster_1126	chr10	134661502	134661640	-0.0066064024	0.23909238821916007	0.23669534950424545	0.22095057918540664	-0.018141809033753425	True	0.00011985209074093032	0.018141809033753425
cg21383280	cluster_5656	chr4	174457944	174458502	-0.0077630714	0.27621281767486444	0.27452576899140696	0.2610188729132264	-0.015193944761638045	True	0.00011795167803225213	0.015193944761638045
cg18842363	cluster_6262	chr6	31628935	31629199	-0.0074985209999999	0.5383913239249806	0.5256703019624497	0.5227484403892673	-0.015642883535713303	True	0.00011729849069309889	0.015642883535713303
cg19205041	cluster_6518	chr6	143929300	143929511	0.011981867	0.6122921564927089	0.6055851913319514	0.6217228285384595	0.009430672045750654	True	0.00011299705817280226	0.009430672045750654
cg08970682	cluster_5599	chr4	106472990	106473806	0.0088285846	0.5141393118754582	0.5163444188254517	0.5269286283838521	0.012789316508393878	True	0.00011291156277053196	0.012789316508393878
cg10351829	cluster_1126	chr10	134661502	134661640	-0.0066064024	0.32015135059410044	0.3188785535234597	0.30316833377391533	-0.016983016820185104	True	0.00011219664308011124	0.016983016820185104
cg07383092	cluster_6020	chr5	172662724	172663219	-0.0077276728	0.7924050391179485	0.7834120760310477	0.7780038730361694	-0.014401166081779104	True	0.00011128749941844695	0.014401166081779104
cg20539366	cluster_5064	chr22	46370644	46371152	-0.0049965402	0.24737427079892113	0.2544118210388749	0.22552319392791045	-0.021851076871010677	True	0.00010917978399929506	0.021851076871010677
cg15766024	cluster_5240	chr3	99904510	99904609	0.0043127058	0.7888661209287398	0.7884811393225821	0.8137766046274834	0.024910483698743602	True	0.00010743158752837699	0.024910483698743602
cg25650956	cluster_3275	chr17	10421635	10422077	0.0090137378	0.2077681992288333	0.22388998779741878	0.21948122272104437	0.011713023492211067	True	0.00010557812260403089	0.011713023492211067
cg12750103	cluster_67	chr1	2559320	2559371	-0.0063036928	0.12792683871702812	0.12477786918810585	0.11174333305366324	-0.016183505663364878	True	0.0001020158481289124	0.016183505663364878
cg11629449	cluster_6171	chr6	29555799	29556229	0.0053355864	0.30112680446883633	0.3210093449296894	0.3200261938459723	0.018899389377135978	True	0.00010083932492895119	0.018899389377135978
cg18801945	cluster_3928	chr19	13214412	13215041	-0.0073388324	0.8982675431254457	0.8970543175821462	0.8847957456929585	-0.013471797432487165	True	9.886726348377362e-05	0.013471797432487165
cg01778926	cluster_1806	chr12	49371182	49371310	-0.005044783	0.2896408475513823	0.30091780393518647	0.2710107912780697	-0.0186300562733126	True	9.398459117665075e-05	0.0186300562733126
cg06002471	cluster_4909	chr21	32014696	32015231	0.0046829127999999	0.48442916577207973	0.5267468634180354	0.5041213987683921	0.019692232996312398	True	9.22170099590117e-05	0.019692232996312398
cg10410852	cluster_915	chr10	74714308	74714935	0.0068528962	0.9348208363941275	0.9390355464890985	0.948010335830008	0.013189499435880547	True	9.038627056404794e-05	0.013189499435880547
cg08143133	cluster_5024	chr22	32598479	32598570	-0.0047803713999999	0.2265967628380264	0.22452415022226163	0.20797510209769507	-0.018621660740331336	True	8.901845442358088e-05	0.018621660740331336
cg10599384	cluster_5966	chr5	140709983	140710237	-0.0063173972	0.10017569111816008	0.11230251178316103	0.08629038562953342	-0.013885305488626654	True	8.771899001499466e-05	0.013885305488626654
cg13425422	cluster_4538	chr2	167168604	167168852	0.0054286809999999	0.36354435801183815	0.4111036587991508	0.37959040828910867	0.016046050277270518	True	8.710888826526159e-05	0.016046050277270518
cg00085370	cluster_5760	chr5	1855899	1856713	-0.0049247912	0.5276248744748738	0.5397996050989677	0.5107903400674167	-0.01683453440745708	True	8.290656690594184e-05	0.01683453440745708
cg09357934	cluster_4532	chr2	159651559	159651918	0.0031005754	0.45539607385930925	0.48586081593478564	0.4819800720387172	0.02658399817940793	True	8.242569078871702e-05	0.02658399817940793
cg08864042	cluster_4404	chr2	74607470	74607600	-0.0068323192	0.4792912696033781	0.46858730267306314	0.46734693668065336	-0.011944332922724732	True	8.160749515912431e-05	0.011944332922724732
cg24751551	cluster_4920	chr21	39627271	39628679	0.0054574154	0.7374985149871602	0.7488420503199148	0.752393782635131	0.014895267647970778	True	8.12896630491575e-05	0.014895267647970778
cg24807889	cluster_23	chr1	1135492	1135955	-0.0047603806	0.434125700836036	0.4446434765634898	0.41716753417788144	-0.016958166658154583	True	8.07273275710459e-05	0.016958166658154583
cg06736134	cluster_5977	chr5	147040667	147040773	0.0121587616	0.5192047940129224	0.5481650301202646	0.5257963550800088	0.00659156106708636	True	8.014521958654465e-05	0.00659156106708636
cg17017272	cluster_2727	chr15	91447374	91447749	-0.0032506901999999	0.6430362820372009	0.6065071800564564	0.6184360883662974	-0.024600193670903492	True	7.996760848410555e-05	0.024600193670903492
cg03704645	cluster_4420	chr2	88366775	88367503	0.0074476766	0.9386419974698341	0.9365456877094086	0.9492486883490614	0.010606690879227276	True	7.899520346465441e-05	0.010606690879227276
cg25585129	cluster_3227	chr17	4486580	4486934	-0.004881945	0.2743406844816826	0.2653104341458703	0.2586775703684366	-0.015663114113246	True	7.646646162959076e-05	0.015663114113246
cg18298050	cluster_5002	chr22	26829758	26830041	0.0147762834	0.44114163791479777	0.4389490722050216	0.4461875344559707	0.005045896541172934	True	7.455959729945104e-05	0.005045896541172934
cg19809636	cluster_1126	chr10	134661502	134661640	-0.0066064024	0.06609825604399854	0.06842363068106727	0.054902230044068245	-0.01119602599993029	True	7.396545303640186e-05	0.01119602599993029
cg07132005	cluster_7052	chr7	121651766	121652024	0.0063702822	0.5108059185964603	0.5136863631212182	0.5223350110512095	0.011529092454749201	True	7.344357244664314e-05	0.011529092454749201
cg22798737	cluster_6975	chr7	94927713	94928249	0.0074328592	0.9502130288327735	0.9538021478896984	0.9600041643222742	0.009791135489500724	True	7.277613150158196e-05	0.009791135489500724
cg23659056	cluster_293	chr1	47901555	47902085	-0.0067156566	0.45016381193776833	0.4522925377105084	0.4394715011610411	-0.01069231077672722	True	7.180588743697928e-05	0.01069231077672722
cg00640456	cluster_6163	chr6	29274617	29275337	0.003393275	0.43918538733355356	0.45929117764126615	0.460061922005684	0.020876534672130465	True	7.08398231895735e-05	0.020876534672130465
cg11714200	cluster_3766	chr19	1065688	1065728	-0.0053683696	0.4102973270076008	0.4157715407771832	0.3972119580636764	-0.013085368943924425	True	7.024709684334798e-05	0.013085368943924425
cg19074493	cluster_4420	chr2	88366775	88367503	0.0074476766	0.9331518676275282	0.9339360812263593	0.9425477857447285	0.009395918117200308	True	6.997775949698879e-05	0.009395918117200308
cg08164326	cluster_3762	chr19	863226	863244	-0.005491837	0.29323802995509995	0.30837127971481265	0.28064682689436005	-0.012591203060739908	True	6.914883484348468e-05	0.012591203060739908
cg00416945	cluster_3123	chr16	88165722	88165938	0.0059382364	0.6191392964830511	0.6430202831328568	0.6303052060937727	0.011165909610721614	True	6.630581088949692e-05	0.011165909610721614
cg09565319	cluster_6655	chr6	168963358	168963731	0.0232052916	0.9650536317736206	0.9593045449450124	0.9678795664250854	0.0028259346514648565	True	6.557663762978636e-05	0.0028259346514648565
cg13376438	cluster_7042	chr7	108168130	108168721	0.0075504199999999	0.37091401844990335	0.3730466615105618	0.3794234870160669	0.008509468566163525	True	6.425006165133154e-05	0.008509468566163525
cg23169784	cluster_6892	chr7	37947051	37947061	0.0048071141999999	0.9196648514090832	0.9131290448765467	0.9329498876720764	0.013285036262993266	True	6.386268646734853e-05	0.013285036262993266
cg04091078	cluster_1758	chr12	20848285	20848473	0.0054427362	0.4841325607624878	0.5257786625276281	0.49580938820958964	0.011676827447101856	True	6.355389144749486e-05	0.011676827447101856
cg04657715	cluster_5240	chr3	99904510	99904609	0.0043127058	0.7391839482176532	0.7382563551022344	0.7538924281384285	0.014708479920775286	True	6.343334666351112e-05	0.014708479920775286
cg25190001	cluster_1806	chr12	49371182	49371310	-0.005044783	0.15303074204787956	0.16378733393141848	0.14066417845418763	-0.012366563593691926	True	6.238662978587594e-05	0.012366563593691926
cg20303028	cluster_4404	chr2	74607470	74607600	-0.0068323192	0.43856597209935727	0.4270267943547222	0.4297137514012662	-0.008852220698091051	True	6.048119743820489e-05	0.008852220698091051
cg03625415	cluster_6020	chr5	172662724	172663219	-0.0077276728	0.643879986648097	0.6513228232545565	0.63609333685733	-0.007786649790766931	True	6.0172681791235304e-05	0.007786649790766931
cg18073514	cluster_3766	chr19	1065688	1065728	-0.0053683696	0.34423832777696317	0.3525999639904349	0.3330622859345126	-0.01117604184245058	True	5.999712327533968e-05	0.01117604184245058
cg21221377	cluster_4889	chr20	62574023	62574518	-0.0038428794	0.39442134084969904	0.38778095447452543	0.3788989318192485	-0.015522409030450546	True	5.965074590149238e-05	0.015522409030450546
cg02245566	cluster_483	chr1	158670124	158670617	0.0050363056	0.3403559695452628	0.3670558397932791	0.351483059019435	0.01112708947417218	True	5.60394230304744e-05	0.01112708947417218
cg25267258	cluster_6163	chr6	29274617	29275337	0.003393275	0.2063701494501875	0.22361186667771651	0.22281566217813328	0.016445512727945782	True	5.5804147201920225e-05	0.016445512727945782
cg03078819	cluster_7095	chr7	140218068	140218338	-0.0129405938	0.9827975319898504	0.9835787371300843	0.9786046415498536	-0.004192890439996821	True	5.425849203190214e-05	0.004192890439996821
cg07507493	cluster_4889	chr20	62574023	62574518	-0.0038428794	0.5431866155587003	0.5362634692902672	0.5293149906369861	-0.013871624921714232	True	5.330698165618224e-05	0.013871624921714232
cg15501231	cluster_6275	chr6	31737630	31737885	-0.0064842076	0.3394634649270726	0.34552437690226756	0.3312677117753108	-0.008195753151761798	True	5.31429648743778e-05	0.008195753151761798
cg01368230	cluster_7683	chr9	34628025	34628238	-0.0055741026	0.7156084476188067	0.7333655006389453	0.7063874047528441	-0.009221042865962592	True	5.139903901387354e-05	0.009221042865962592
cg19548313	cluster_3766	chr19	1065688	1065728	-0.0053683696	0.4208109161722778	0.4311626037426775	0.41145020487814365	-0.009360711294134128	True	5.025175794580631e-05	0.009360711294134128
cg24801087	cluster_3519	chr17	76481380	76481729	0.0067309294	0.7312312411071207	0.7281629437908834	0.7386810784012054	0.007449837294084771	True	5.014432886797163e-05	0.007449837294084771
cg14876761	cluster_5400	chr4	683148	683772	-0.0027994702	0.4712742423128682	0.45969818258820516	0.45363246216623165	-0.017641780146636532	True	4.93876377954606e-05	0.017641780146636532
cg13360866	cluster_23	chr1	1135492	1135955	-0.0047603806	0.23251541687932162	0.23392680661908435	0.22217678438165986	-0.01033863249766176	True	4.9215825572398586e-05	0.01033863249766176
cg12628075	cluster_6163	chr6	29274617	29275337	0.003393275	0.20359634497928708	0.20707511598809403	0.2179173715276752	0.014321026548388127	True	4.859518136098172e-05	0.014321026548388127
cg06434255	cluster_6171	chr6	29555799	29556229	0.0053355864	0.6461518343880411	0.6439552539581471	0.6551638099361308	0.009011975548089635	True	4.80841741715196e-05	0.009011975548089635
cg19356515	cluster_1556	chr11	108408950	108408962	0.0054585662	0.16063320202346523	0.16906966703299722	0.16939755457970784	0.00876435255624261	True	4.784079862838951e-05	0.00876435255624261
cg04482825	cluster_2623	chr15	37190548	37190694	0.0066504895999999	0.7157640224518278	0.7117416193680005	0.7226039892054413	0.0068399667536135356	True	4.54891277592519e-05	0.0068399667536135356
cg19295251	cluster_5679	chr4	186427685	186427765	0.0049069372	0.9263167830168999	0.9329418127660811	0.9354614631052212	0.009144680088321255	True	4.4872370907482855e-05	0.009144680088321255
cg23979954	cluster_1764	chr12	25801455	25801621	0.0091420976	0.044563771044767664	0.043819037520519584	0.04934527626959639	0.0047815052248287235	True	4.3712987440294134e-05	0.0047815052248287235
cg21820890	cluster_915	chr10	74714308	74714935	0.0068528962	0.952526753039192	0.9544297272949138	0.9588256947513688	0.00629894171217682	True	4.316599372339802e-05	0.00629894171217682
cg23591298	cluster_6262	chr6	31628935	31629199	-0.0074985209999999	0.15348517997227548	0.14550442027114627	0.1477358081272842	-0.0057493718449912745	True	4.3111785516475245e-05	0.0057493718449912745
cg26160460	cluster_543	chr1	198828060	198828249	0.0036090266	0.9420238532660893	0.9358309471773442	0.9538270566428819	0.011803203376792637	True	4.259807495205445e-05	0.011803203376792637
cg01637548	cluster_4889	chr20	62574023	62574518	-0.0038428794	0.838295990701351	0.8523988567050433	0.8272213573722913	-0.011074633329059669	True	4.2558480282796825e-05	0.011074633329059669
cg01976992	cluster_6400	chr6	36237982	36238410	0.0115682172	0.9700368170852725	0.9690650931238374	0.9736706842769303	0.0036338671916578136	True	4.2037364949051615e-05	0.0036338671916578136
cg08409562	cluster_6275	chr6	31737630	31737885	-0.0064842076	0.18241736320098015	0.18624402652898242	0.176154076410671	-0.006263286790309158	True	4.061245180670225e-05	0.006263286790309158
cg17952262	cluster_5400	chr4	683148	683772	-0.0027994702	0.6881507874110342	0.6793465314059222	0.6739502120865091	-0.014200575324525122	True	3.975408744386341e-05	0.014200575324525122
cg07533630	cluster_3967	chr19	18284120	18284450	-0.0055333071999999	0.5902091893553425	0.5761817257995538	0.5831364282329956	-0.007072761122346893	True	3.9135760042161434e-05	0.007072761122346893
cg20187047	cluster_6532	chr6	152702330	152702463	0.0074560926	0.5553403556989733	0.5446836378741126	0.5604976635068526	0.005157307807879263	True	3.84533645822508e-05	0.005157307807879263
cg13579205	cluster_2727	chr15	91447374	91447749	-0.0032506901999999	0.9205110930885725	0.9095466661803848	0.9087099594923798	-0.011801133596192726	True	3.836182933003327e-05	0.011801133596192726
cg06664900	cluster_2832	chr16	2073518	2073792	-0.0041108436	0.38274440375264773	0.3841164062397032	0.3738512920190519	-0.00889311173359586	True	3.655819145413744e-05	0.00889311173359586
cg04269747	cluster_1564	chr11	111956647	111956885	-0.0026429054	0.5456376152337168	0.5309411051826334	0.5319815308445551	-0.01365608438916166	True	3.609173917497105e-05	0.01365608438916166
cg20267718	cluster_634	chr1	234293071	234293143	0.0205992158	0.35322888952090653	0.3417398451335903	0.35495256597965075	0.0017236764587442166	True	3.550638334305192e-05	0.0017236764587442166
cg15368264	cluster_6495	chr6	130182053	130182551	0.0021933734	0.3666530798992792	0.37798004106466626	0.38254145305076415	0.015888373151484947	True	3.484913503974125e-05	0.015888373151484947
cg02096793	cluster_5400	chr4	683148	683772	-0.0027994702	0.5546534597227072	0.5452377774112135	0.5425055992466679	-0.01214786047603933	True	3.400757339642992e-05	0.01214786047603933
cg00076653	cluster_5516	chr4	15341641	15341878	0.0041983942	0.6690206821061867	0.6607724865123298	0.6770825738303501	0.008061891724163384	True	3.384699945575555e-05	0.008061891724163384
cg18555433	cluster_5024	chr22	32598479	32598570	-0.0047803713999999	0.1092040571057907	0.10395045516635687	0.10217940836899027	-0.0070246487368004346	True	3.358042991644622e-05	0.0070246487368004346
cg13549667	cluster_3967	chr19	18284120	18284450	-0.0055333071999999	0.22309749319429129	0.20789284346810452	0.2171059718739632	-0.005991521320328097	True	3.3152928060724363e-05	0.005991521320328097
cg17329304	cluster_126	chr1	6546027	6546646	-0.0043300892	0.14806079891542126	0.15021902363428663	0.1404543083765932	-0.007606490538828059	True	3.293678253208156e-05	0.007606490538828059
cg01094301	cluster_4084	chr19	47745212	47745582	-0.0039046886	0.7170278277905233	0.7217487573102023	0.7086731439085323	-0.00835468388199101	True	3.2622438910614044e-05	0.00835468388199101
cg03156547	cluster_2355	chr14	23525003	23525720	-0.003339192	0.7568835890655732	0.7349048140701264	0.74752839962449	-0.009355189441083156	True	3.1238773740149345e-05	0.009355189441083156
cg12845215	cluster_6495	chr6	130182053	130182551	0.0021933734	0.6810256250889448	0.6807309606750477	0.6950272431245874	0.014001618035642593	True	3.071077655633871e-05	0.014001618035642593
cg14272935	cluster_5580	chr4	81185723	81185765	-0.0037169514	0.48912665430825025	0.4657039105748519	0.4811886831359556	-0.007937971172294667	True	2.9505053062020303e-05	0.007937971172294667
cg21608500	cluster_5447	chr4	1794043	1794084	-0.0069851834	0.5211736824843188	0.5318380376829924	0.5171223930695359	-0.004051289414782944	True	2.8298999568737533e-05	0.004051289414782944
cg26977737	cluster_4899	chr21	22175001	22175522	0.0088209382	0.12429935040351203	0.11220318548121687	0.1274099476377242	0.00311059723421217	True	2.7438385968076477e-05	0.00311059723421217
cg25216821	cluster_6114	chr6	7248862	7248983	0.006939428	0.9465739210196625	0.9468035560078225	0.9504731597725407	0.0038992387528781203	True	2.7058486580407508e-05	0.0038992387528781203
cg01669366	cluster_7000	chr7	100077221	100077394	-0.004653337	0.9820507439058407	0.9778293118474338	0.9763947883560137	-0.0056559555498270075	True	2.6319067230365355e-05	0.0056559555498270075
cg05063895	cluster_2832	chr16	2073518	2073792	-0.0041108436	0.09903399517164871	0.10522141269416667	0.09263488083520337	-0.006399114336445341	True	2.6305758215644576e-05	0.006399114336445341
cg16146806	cluster_125	chr1	6529710	6530205	-0.0040812596	0.8723562441565142	0.8606364472929177	0.8662185770138757	-0.006137667142638525	True	2.504941294749805e-05	0.006137667142638525
cg22102078	cluster_6495	chr6	130182053	130182551	0.0021933734	0.9338520604537479	0.9369663809084756	0.9452551581121483	0.011403097658400418	True	2.5011251081537765e-05	0.011403097658400418
cg13806292	cluster_6532	chr6	152702330	152702463	0.0074560926	0.3667183215199826	0.3487277334938266	0.3699143759515655	0.0031960544315828843	True	2.383007779652235e-05	0.0031960544315828843
cg10273217	cluster_1607	chr11	122756770	122756965	0.0047616782	0.8487807149767604	0.8558881433511755	0.8537493538342208	0.00496863885746035	True	2.3659059331241856e-05	0.00496863885746035
cg07604117	cluster_6532	chr6	152702330	152702463	0.0074560926	0.5764257128456494	0.5619217393836275	0.57957705041989	0.003151337574240687	True	2.3496664767397938e-05	0.003151337574240687
cg03550233	cluster_3362	chr17	39685250	39685912	-0.0078233104	0.3520774801277968	0.35718690119855745	0.3490887858144299	-0.002988694313366902	True	2.3381483304184144e-05	0.002988694313366902
cg13400306	cluster_6892	chr7	37947051	37947061	0.0048071141999999	0.9026317450884533	0.9055090211950116	0.9074871717481358	0.004855426659682416	True	2.334059044281742e-05	0.004855426659682416
cg27324619	cluster_5020	chr22	31518860	31518963	-0.0055116956	0.2793606750327829	0.2761989577513229	0.2751527925248959	-0.004207882507887006	True	2.319256750403778e-05	0.004207882507887006
