source	top_k	iteration	random_mean
8cell_2pn	10	198	0.2
8cell_2pn	10	199	0.1
8cell_2pn	10	200	0.2
8cell_2pn	10	201	0.2
8cell_2pn	10	202	0.2
8cell_2pn	10	203	0.1
8cell_2pn	10	204	0.2
8cell_2pn	10	205	0.2
8cell_2pn	10	206	0.1
8cell_2pn	10	207	0.2
8cell_2pn	10	208	0.0
8cell_2pn	10	209	0.1
8cell_2pn	10	210	0.1
8cell_2pn	10	211	0.1
8cell_2pn	10	212	0.1
8cell_2pn	10	213	0.0
8cell_2pn	10	214	0.1
8cell_2pn	10	215	0.2
8cell_2pn	10	216	0.1
8cell_2pn	10	217	0.0
8cell_2pn	10	218	0.0
8cell_2pn	10	219	0.1
8cell_2pn	10	220	0.1
8cell_2pn	10	221	0.1
8cell_2pn	10	222	0.0
8cell_2pn	10	223	0.0
8cell_2pn	10	224	0.1
8cell_2pn	10	225	0.1
8cell_2pn	10	226	0.3
8cell_2pn	10	227	0.1
8cell_2pn	10	228	0.0
8cell_2pn	10	229	0.1
8cell_2pn	10	230	0.0
8cell_2pn	10	231	0.2
8cell_2pn	10	232	0.1
8cell_2pn	10	233	0.1
8cell_2pn	10	234	0.2
8cell_2pn	10	235	0.2
8cell_2pn	10	236	0.0
8cell_2pn	10	237	0.1
8cell_2pn	10	238	0.2
8cell_2pn	10	239	0.0
8cell_2pn	10	240	0.1
8cell_2pn	10	241	0.0
8cell_2pn	10	242	0.4
8cell_2pn	10	243	0.1
8cell_2pn	10	244	0.1
8cell_2pn	10	245	0.1
8cell_2pn	10	246	0.0
8cell_2pn	10	247	0.2
8cell_2pn	10	248	0.0
8cell_2pn	10	249	0.2
8cell_2pn	10	250	0.2
8cell_2pn	10	251	0.1
8cell_2pn	10	252	0.1
8cell_2pn	10	253	0.1
8cell_2pn	10	254	0.1
8cell_2pn	10	255	0.1
8cell_2pn	10	256	0.2
8cell_2pn	10	257	0.1
8cell_2pn	10	258	0.1
8cell_2pn	10	259	0.2
8cell_2pn	10	260	0.1
8cell_2pn	10	261	0.1
8cell_2pn	10	262	0.2
8cell_2pn	10	263	0.0
8cell_2pn	10	264	0.2
8cell_2pn	10	265	0.0
8cell_2pn	10	266	0.1
8cell_2pn	10	267	0.2
8cell_2pn	10	268	0.2
8cell_2pn	10	269	0.1
8cell_2pn	10	270	0.0
8cell_2pn	10	271	0.2
8cell_2pn	10	272	0.2
8cell_2pn	10	273	0.1
8cell_2pn	10	274	0.3
8cell_2pn	10	275	0.4
8cell_2pn	10	276	0.3
8cell_2pn	10	277	0.2
8cell_2pn	10	278	0.4
8cell_2pn	10	279	0.1
8cell_2pn	10	280	0.2
8cell_2pn	10	281	0.0
8cell_2pn	10	282	0.1
8cell_2pn	10	283	0.3
8cell_2pn	10	284	0.1
8cell_2pn	10	285	0.2
8cell_2pn	10	286	0.1
8cell_2pn	10	287	0.1
8cell_2pn	10	288	0.1
8cell_2pn	10	289	0.1
8cell_2pn	10	290	0.1
8cell_2pn	10	291	0.3
8cell_2pn	10	292	0.0
8cell_2pn	10	293	0.1
8cell_2pn	10	294	0.2
8cell_2pn	10	295	0.1
8cell_2pn	10	296	0.2
8cell_2pn	10	297	0.1
8cell_2pn	10	298	0.2
8cell_2pn	10	299	0.1
8cell_2pn	10	300	0.1
8cell_2pn	10	301	0.0
8cell_2pn	10	302	0.3
8cell_2pn	10	303	0.3
8cell_2pn	10	304	0.1
8cell_2pn	10	305	0.3
8cell_2pn	10	306	0.2
8cell_2pn	10	307	0.2
8cell_2pn	10	308	0.0
8cell_2pn	10	309	0.0
8cell_2pn	10	310	0.2
8cell_2pn	10	311	0.1
8cell_2pn	10	312	0.1
8cell_2pn	10	313	0.1
8cell_2pn	10	314	0.1
8cell_2pn	10	315	0.3
8cell_2pn	10	316	0.3
8cell_2pn	10	317	0.0
8cell_2pn	10	318	0.0
8cell_2pn	10	319	0.1
8cell_2pn	10	320	0.3
8cell_2pn	10	321	0.1
8cell_2pn	10	322	0.3
8cell_2pn	10	323	0.1
8cell_2pn	10	324	0.0
8cell_2pn	10	325	0.1
8cell_2pn	10	326	0.0
8cell_2pn	10	327	0.2
8cell_2pn	10	328	0.0
8cell_2pn	10	329	0.0
8cell_2pn	10	330	0.2
8cell_2pn	10	331	0.0
8cell_2pn	10	332	0.0
8cell_2pn	10	333	0.1
8cell_2pn	10	334	0.0
8cell_2pn	10	335	0.1
8cell_2pn	10	336	0.1
8cell_2pn	10	337	0.1
8cell_2pn	10	338	0.1
8cell_2pn	10	339	0.1
8cell_2pn	10	340	0.0
8cell_2pn	10	341	0.0
8cell_2pn	10	342	0.1
8cell_2pn	10	343	0.3
8cell_2pn	10	344	0.4
8cell_2pn	10	345	0.1
8cell_2pn	10	346	0.2
8cell_2pn	10	347	0.1
8cell_2pn	10	348	0.1
8cell_2pn	10	349	0.1
8cell_2pn	10	350	0.0
8cell_2pn	10	351	0.2
8cell_2pn	10	352	0.1
8cell_2pn	10	353	0.2
8cell_2pn	10	354	0.4
8cell_2pn	10	355	0.0
8cell_2pn	10	356	0.3
8cell_2pn	10	357	0.1
8cell_2pn	10	358	0.2
8cell_2pn	10	359	0.0
8cell_2pn	10	360	0.0
8cell_2pn	10	361	0.1
8cell_2pn	10	362	0.0
8cell_2pn	10	363	0.1
8cell_2pn	10	364	0.1
8cell_2pn	10	365	0.2
8cell_2pn	10	366	0.2
8cell_2pn	10	367	0.3
8cell_2pn	10	368	0.3
8cell_2pn	10	369	0.2
8cell_2pn	10	370	0.0
8cell_2pn	10	371	0.2
8cell_2pn	10	372	0.0
8cell_2pn	10	373	0.3
8cell_2pn	10	374	0.0
8cell_2pn	10	375	0.0
8cell_2pn	10	376	0.1
8cell_2pn	10	377	0.1
8cell_2pn	10	378	0.2
8cell_2pn	10	379	0.0
8cell_2pn	10	380	0.0
8cell_2pn	10	381	0.4
8cell_2pn	10	382	0.0
8cell_2pn	10	383	0.2
8cell_2pn	10	384	0.2
8cell_2pn	10	385	0.2
8cell_2pn	10	386	0.2
8cell_2pn	10	387	0.0
8cell_2pn	10	388	0.1
8cell_2pn	10	389	0.3
8cell_2pn	10	390	0.2
8cell_2pn	10	391	0.3
8cell_2pn	10	392	0.0
8cell_2pn	10	393	0.0
8cell_2pn	10	394	0.4
8cell_2pn	10	395	0.0
8cell_2pn	10	396	0.1
8cell_2pn	10	397	0.2
8cell_2pn	10	398	0.0
8cell_2pn	10	399	0.0
8cell_2pn	10	400	0.3
8cell_2pn	10	401	0.1
8cell_2pn	10	402	0.0
8cell_2pn	10	403	0.3
8cell_2pn	10	404	0.1
8cell_2pn	10	405	0.1
8cell_2pn	10	406	0.1
8cell_2pn	10	407	0.2
8cell_2pn	10	408	0.0
8cell_2pn	10	409	0.0
8cell_2pn	10	410	0.1
8cell_2pn	10	411	0.1
8cell_2pn	10	412	0.1
8cell_2pn	10	413	0.2
8cell_2pn	10	414	0.0
8cell_2pn	10	415	0.2
8cell_2pn	10	416	0.0
8cell_2pn	10	417	0.4
8cell_2pn	10	418	0.1
8cell_2pn	10	419	0.1
8cell_2pn	10	420	0.2
8cell_2pn	10	421	0.0
8cell_2pn	10	422	0.2
8cell_2pn	10	423	0.1
8cell_2pn	10	424	0.3
8cell_2pn	10	425	0.2
8cell_2pn	10	426	0.1
8cell_2pn	10	427	0.1
8cell_2pn	10	428	0.2
8cell_2pn	10	429	0.1
8cell_2pn	10	430	0.2
8cell_2pn	10	431	0.2
8cell_2pn	10	432	0.2
8cell_2pn	10	433	0.2
8cell_2pn	10	434	0.1
8cell_2pn	10	435	0.0
8cell_2pn	10	436	0.1
8cell_2pn	10	437	0.1
8cell_2pn	10	438	0.2
8cell_2pn	10	439	0.2
8cell_2pn	10	440	0.0
8cell_2pn	10	441	0.1
8cell_2pn	10	442	0.3
8cell_2pn	10	443	0.1
8cell_2pn	10	444	0.2
8cell_2pn	10	445	0.3
8cell_2pn	10	446	0.1
8cell_2pn	10	447	0.0
8cell_2pn	10	448	0.2
8cell_2pn	10	449	0.2
8cell_2pn	10	450	0.4
8cell_2pn	10	451	0.2
8cell_2pn	10	452	0.1
8cell_2pn	10	453	0.2
8cell_2pn	10	454	0.2
8cell_2pn	10	455	0.1
8cell_2pn	10	456	0.1
8cell_2pn	10	457	0.1
8cell_2pn	10	458	0.1
8cell_2pn	10	459	0.3
8cell_2pn	10	460	0.1
8cell_2pn	10	461	0.0
8cell_2pn	10	462	0.1
8cell_2pn	10	463	0.2
8cell_2pn	10	464	0.1
8cell_2pn	10	465	0.0
8cell_2pn	10	466	0.1
8cell_2pn	10	467	0.2
8cell_2pn	10	468	0.3
8cell_2pn	10	469	0.0
8cell_2pn	10	470	0.2
8cell_2pn	10	471	0.1
8cell_2pn	10	472	0.1
8cell_2pn	10	473	0.1
8cell_2pn	10	474	0.1
8cell_2pn	10	475	0.2
8cell_2pn	10	476	0.0
8cell_2pn	10	477	0.0
8cell_2pn	10	478	0.3
8cell_2pn	10	479	0.0
8cell_2pn	10	480	0.1
8cell_2pn	10	481	0.1
8cell_2pn	10	482	0.1
8cell_2pn	10	483	0.1
8cell_2pn	10	484	0.0
8cell_2pn	10	485	0.1
8cell_2pn	10	486	0.1
8cell_2pn	10	487	0.2
8cell_2pn	10	488	0.0
8cell_2pn	10	489	0.0
8cell_2pn	10	490	0.4
8cell_2pn	10	491	0.2
8cell_2pn	10	492	0.1
8cell_2pn	10	493	0.2
8cell_2pn	10	494	0.1
8cell_2pn	10	495	0.2
8cell_2pn	10	496	0.0
8cell_2pn	10	497	0.1
8cell_2pn	10	498	0.3
8cell_2pn	10	499	0.2
8cell_2pn	10	500	0.3
8cell_2pn	10	501	0.2
8cell_2pn	10	502	0.5
8cell_2pn	10	503	0.0
8cell_2pn	10	504	0.0
8cell_2pn	10	505	0.3
8cell_2pn	10	506	0.2
8cell_2pn	10	507	0.0
8cell_2pn	10	508	0.1
8cell_2pn	10	509	0.3
8cell_2pn	10	510	0.5
8cell_2pn	10	511	0.0
8cell_2pn	10	512	0.1
8cell_2pn	10	513	0.2
8cell_2pn	10	514	0.0
8cell_2pn	10	515	0.1
8cell_2pn	10	516	0.2
8cell_2pn	10	517	0.4
8cell_2pn	10	518	0.1
8cell_2pn	10	519	0.1
8cell_2pn	10	520	0.0
8cell_2pn	10	521	0.1
8cell_2pn	10	522	0.0
8cell_2pn	10	523	0.0
8cell_2pn	10	524	0.1
8cell_2pn	10	525	0.1
8cell_2pn	10	526	0.1
8cell_2pn	10	527	0.0
8cell_2pn	10	528	0.2
8cell_2pn	10	529	0.1
8cell_2pn	10	530	0.3
8cell_2pn	10	531	0.0
8cell_2pn	10	532	0.2
8cell_2pn	10	533	0.1
8cell_2pn	10	534	0.2
8cell_2pn	10	535	0.1
8cell_2pn	10	536	0.1
8cell_2pn	10	537	0.2
8cell_2pn	10	538	0.1
8cell_2pn	10	539	0.0
8cell_2pn	10	540	0.4
8cell_2pn	10	541	0.1
8cell_2pn	10	542	0.2
8cell_2pn	10	543	0.1
8cell_2pn	10	544	0.1
8cell_2pn	10	545	0.2
8cell_2pn	10	546	0.0
8cell_2pn	10	547	0.1
8cell_2pn	10	548	0.2
8cell_2pn	10	549	0.1
8cell_2pn	10	550	0.1
8cell_2pn	10	551	0.1
8cell_2pn	10	552	0.1
8cell_2pn	10	553	0.1
8cell_2pn	10	554	0.1
8cell_2pn	10	555	0.0
8cell_2pn	10	556	0.3
8cell_2pn	10	557	0.3
8cell_2pn	10	558	0.1
8cell_2pn	10	559	0.0
8cell_2pn	10	560	0.2
8cell_2pn	10	561	0.3
8cell_2pn	10	562	0.1
8cell_2pn	10	563	0.1
8cell_2pn	10	564	0.3
8cell_2pn	10	565	0.2
8cell_2pn	10	566	0.2
8cell_2pn	10	567	0.1
8cell_2pn	10	568	0.2
8cell_2pn	10	569	0.2
8cell_2pn	10	570	0.1
8cell_2pn	10	571	0.1
8cell_2pn	10	572	0.2
8cell_2pn	10	573	0.1
8cell_2pn	10	574	0.1
8cell_2pn	10	575	0.1
8cell_2pn	10	576	0.2
8cell_2pn	10	577	0.2
8cell_2pn	10	578	0.0
8cell_2pn	10	579	0.1
8cell_2pn	10	580	0.2
8cell_2pn	10	581	0.0
8cell_2pn	10	582	0.2
8cell_2pn	10	583	0.2
8cell_2pn	10	584	0.2
8cell_2pn	10	585	0.0
8cell_2pn	10	586	0.1
8cell_2pn	10	587	0.3
8cell_2pn	10	588	0.0
8cell_2pn	10	589	0.2
8cell_2pn	10	590	0.0
8cell_2pn	10	591	0.3
8cell_2pn	10	592	0.2
8cell_2pn	10	593	0.1
8cell_2pn	10	594	0.2
8cell_2pn	10	595	0.1
8cell_2pn	10	596	0.2
8cell_2pn	10	597	0.1
8cell_2pn	10	598	0.1
8cell_2pn	10	599	0.1
8cell_2pn	10	600	0.2
8cell_2pn	10	601	0.0
8cell_2pn	10	602	0.0
8cell_2pn	10	603	0.1
8cell_2pn	10	604	0.1
8cell_2pn	10	605	0.0
8cell_2pn	10	606	0.2
8cell_2pn	10	607	0.2
8cell_2pn	10	608	0.1
8cell_2pn	10	609	0.1
8cell_2pn	10	610	0.2
8cell_2pn	10	611	0.1
8cell_2pn	10	612	0.0
8cell_2pn	10	613	0.1
8cell_2pn	10	614	0.0
8cell_2pn	10	615	0.1
8cell_2pn	10	616	0.1
8cell_2pn	10	617	0.1
8cell_2pn	10	618	0.1
8cell_2pn	10	619	0.1
8cell_2pn	10	620	0.0
8cell_2pn	10	621	0.0
8cell_2pn	10	622	0.2
8cell_2pn	10	623	0.2
8cell_2pn	10	624	0.2
8cell_2pn	10	625	0.3
8cell_2pn	10	626	0.1
8cell_2pn	10	627	0.0
8cell_2pn	10	628	0.2
8cell_2pn	10	629	0.2
8cell_2pn	10	630	0.3
8cell_2pn	10	631	0.4
8cell_2pn	10	632	0.1
8cell_2pn	10	633	0.0
8cell_2pn	10	634	0.1
8cell_2pn	10	635	0.1
8cell_2pn	10	636	0.1
8cell_2pn	10	637	0.1
8cell_2pn	10	638	0.2
8cell_2pn	10	639	0.1
8cell_2pn	10	640	0.2
8cell_2pn	10	641	0.2
8cell_2pn	10	642	0.2
8cell_2pn	10	643	0.2
8cell_2pn	10	644	0.3
8cell_2pn	10	645	0.1
8cell_2pn	10	646	0.3
8cell_2pn	10	647	0.2
8cell_2pn	10	648	0.0
8cell_2pn	10	649	0.1
8cell_2pn	10	650	0.1
8cell_2pn	10	651	0.0
8cell_2pn	10	652	0.2
8cell_2pn	10	653	0.1
8cell_2pn	10	654	0.5
8cell_2pn	10	655	0.1
8cell_2pn	10	656	0.1
8cell_2pn	10	657	0.2
8cell_2pn	10	658	0.2
8cell_2pn	10	659	0.0
8cell_2pn	10	660	0.3
8cell_2pn	10	661	0.1
8cell_2pn	10	662	0.0
8cell_2pn	10	663	0.3
8cell_2pn	10	664	0.1
8cell_2pn	10	665	0.2
8cell_2pn	10	666	0.1
8cell_2pn	10	667	0.1
8cell_2pn	10	668	0.4
8cell_2pn	10	669	0.2
8cell_2pn	10	670	0.0
8cell_2pn	10	671	0.1
8cell_2pn	10	672	0.1
8cell_2pn	10	673	0.2
8cell_2pn	10	674	0.2
8cell_2pn	10	675	0.1
8cell_2pn	10	676	0.1
8cell_2pn	10	677	0.2
8cell_2pn	10	678	0.1
8cell_2pn	10	679	0.2
8cell_2pn	10	680	0.3
8cell_2pn	10	681	0.3
8cell_2pn	10	682	0.2
8cell_2pn	10	683	0.1
8cell_2pn	10	684	0.1
8cell_2pn	10	685	0.0
8cell_2pn	10	686	0.2
8cell_2pn	10	687	0.3
8cell_2pn	10	688	0.1
8cell_2pn	10	689	0.3
8cell_2pn	10	690	0.1
8cell_2pn	10	691	0.1
8cell_2pn	10	692	0.1
8cell_2pn	10	693	0.1
8cell_2pn	10	694	0.4
8cell_2pn	10	695	0.2
8cell_2pn	10	696	0.2
8cell_2pn	10	697	0.1
8cell_2pn	10	698	0.2
8cell_2pn	10	699	0.1
8cell_2pn	10	700	0.1
8cell_2pn	10	701	0.2
8cell_2pn	10	702	0.2
8cell_2pn	10	703	0.2
8cell_2pn	10	704	0.0
8cell_2pn	10	705	0.2
8cell_2pn	10	706	0.1
8cell_2pn	10	707	0.1
8cell_2pn	10	708	0.2
8cell_2pn	10	709	0.0
8cell_2pn	10	710	0.0
8cell_2pn	10	711	0.1
8cell_2pn	10	712	0.2
8cell_2pn	10	713	0.2
8cell_2pn	10	714	0.4
8cell_2pn	10	715	0.3
8cell_2pn	10	716	0.1
8cell_2pn	10	717	0.2
8cell_2pn	10	718	0.0
8cell_2pn	10	719	0.1
8cell_2pn	10	720	0.0
8cell_2pn	10	721	0.1
8cell_2pn	10	722	0.3
8cell_2pn	10	723	0.2
8cell_2pn	10	724	0.0
8cell_2pn	10	725	0.2
8cell_2pn	10	726	0.2
8cell_2pn	10	727	0.1
8cell_2pn	10	728	0.0
8cell_2pn	10	729	0.0
8cell_2pn	10	730	0.0
8cell_2pn	10	731	0.1
8cell_2pn	10	732	0.1
8cell_2pn	10	733	0.0
8cell_2pn	10	734	0.0
8cell_2pn	10	735	0.2
8cell_2pn	10	736	0.4
8cell_2pn	10	737	0.1
8cell_2pn	10	738	0.3
8cell_2pn	10	739	0.2
8cell_2pn	10	740	0.3
8cell_2pn	10	741	0.1
8cell_2pn	10	742	0.0
8cell_2pn	10	743	0.1
8cell_2pn	10	744	0.0
8cell_2pn	10	745	0.2
8cell_2pn	10	746	0.1
8cell_2pn	10	747	0.0
8cell_2pn	10	748	0.3
8cell_2pn	10	749	0.2
8cell_2pn	10	750	0.1
8cell_2pn	10	751	0.1
8cell_2pn	10	752	0.1
8cell_2pn	10	753	0.1
8cell_2pn	10	754	0.2
8cell_2pn	10	755	0.2
8cell_2pn	10	756	0.0
8cell_2pn	10	757	0.2
8cell_2pn	10	758	0.1
8cell_2pn	10	759	0.2
8cell_2pn	10	760	0.2
8cell_2pn	10	761	0.3
8cell_2pn	10	762	0.1
8cell_2pn	10	763	0.3
8cell_2pn	10	764	0.0
8cell_2pn	10	765	0.1
8cell_2pn	10	766	0.1
8cell_2pn	10	767	0.3
8cell_2pn	10	768	0.1
8cell_2pn	10	769	0.0
8cell_2pn	10	770	0.0
8cell_2pn	10	771	0.0
8cell_2pn	10	772	0.1
8cell_2pn	10	773	0.1
8cell_2pn	10	774	0.1
8cell_2pn	10	775	0.2
8cell_2pn	10	776	0.2
8cell_2pn	10	777	0.1
8cell_2pn	10	778	0.0
8cell_2pn	10	779	0.3
8cell_2pn	10	780	0.2
8cell_2pn	10	781	0.1
8cell_2pn	10	782	0.1
8cell_2pn	10	783	0.3
8cell_2pn	10	784	0.2
8cell_2pn	10	785	0.1
8cell_2pn	10	786	0.2
8cell_2pn	10	787	0.1
8cell_2pn	10	788	0.1
8cell_2pn	10	789	0.0
8cell_2pn	10	790	0.1
8cell_2pn	10	791	0.1
8cell_2pn	10	792	0.1
8cell_2pn	10	793	0.1
8cell_2pn	10	794	0.2
8cell_2pn	10	795	0.0
8cell_2pn	10	796	0.0
8cell_2pn	10	797	0.1
8cell_2pn	10	798	0.1
8cell_2pn	10	799	0.2
8cell_2pn	10	800	0.1
8cell_2pn	10	801	0.2
8cell_2pn	10	802	0.1
8cell_2pn	10	803	0.0
8cell_2pn	10	804	0.4
8cell_2pn	10	805	0.1
8cell_2pn	10	806	0.0
8cell_2pn	10	807	0.0
8cell_2pn	10	808	0.2
8cell_2pn	10	809	0.2
8cell_2pn	10	810	0.0
8cell_2pn	10	811	0.1
8cell_2pn	10	812	0.2
8cell_2pn	10	813	0.2
8cell_2pn	10	814	0.1
8cell_2pn	10	815	0.2
8cell_2pn	10	816	0.1
8cell_2pn	10	817	0.0
8cell_2pn	10	818	0.0
8cell_2pn	10	819	0.2
8cell_2pn	10	820	0.0
8cell_2pn	10	821	0.0
8cell_2pn	10	822	0.2
8cell_2pn	10	823	0.1
8cell_2pn	10	824	0.2
8cell_2pn	10	825	0.3
8cell_2pn	10	826	0.1
8cell_2pn	10	827	0.0
8cell_2pn	10	828	0.0
8cell_2pn	10	829	0.0
8cell_2pn	10	830	0.0
8cell_2pn	10	831	0.1
8cell_2pn	10	832	0.0
8cell_2pn	10	833	0.0
8cell_2pn	10	834	0.3
8cell_2pn	10	835	0.2
8cell_2pn	10	836	0.1
8cell_2pn	10	837	0.1
8cell_2pn	10	838	0.2
8cell_2pn	10	839	0.1
8cell_2pn	10	840	0.2
8cell_2pn	10	841	0.1
8cell_2pn	10	842	0.1
8cell_2pn	10	843	0.2
8cell_2pn	10	844	0.1
8cell_2pn	10	845	0.0
8cell_2pn	10	846	0.1
8cell_2pn	10	847	0.0
8cell_2pn	10	848	0.2
8cell_2pn	10	849	0.2
8cell_2pn	10	850	0.2
8cell_2pn	10	851	0.0
8cell_2pn	10	852	0.1
8cell_2pn	10	853	0.0
8cell_2pn	10	854	0.1
8cell_2pn	10	855	0.1
8cell_2pn	10	856	0.2
8cell_2pn	10	857	0.1
8cell_2pn	10	858	0.1
8cell_2pn	10	859	0.1
8cell_2pn	10	860	0.1
8cell_2pn	10	861	0.1
8cell_2pn	10	862	0.1
8cell_2pn	10	863	0.1
8cell_2pn	10	864	0.1
8cell_2pn	10	865	0.2
8cell_2pn	10	866	0.4
8cell_2pn	10	867	0.0
8cell_2pn	10	868	0.0
8cell_2pn	10	869	0.1
8cell_2pn	10	870	0.0
8cell_2pn	10	871	0.5
8cell_2pn	10	872	0.3
