iteration	previous_stage	mean_transport_A	mean_transport_Hm	mean_transport_P	mean_transport_Hr	mean_squared_displacement
72	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
73	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
74	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
75	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
76	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
77	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
78	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
79	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
80	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
81	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
82	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
84	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
85	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
86	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
87	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
89	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
90	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
91	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
92	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
93	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
94	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
95	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
96	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
97	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
98	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
99	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
100	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
101	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
102	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
103	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
104	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
105	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
106	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
107	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
108	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
109	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
111	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
112	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
113	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
114	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
115	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
116	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
117	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
118	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
120	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
121	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
122	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
123	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
124	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
125	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
126	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
127	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
128	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
129	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
130	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
133	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
134	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
136	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
137	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
138	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
139	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
140	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
142	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
143	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
144	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
145	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
146	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
147	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
148	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
149	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
151	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
152	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
153	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
154	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
155	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
156	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
157	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
158	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
159	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
160	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
161	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
162	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
163	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
166	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
167	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
168	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
169	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
170	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
172	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
173	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
174	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
175	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
176	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
177	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
178	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
179	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
180	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
181	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
182	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
183	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
184	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
185	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
186	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
187	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
188	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
189	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
190	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
191	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
192	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
193	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
194	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
195	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
196	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
198	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
199	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
200	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
201	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
203	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
204	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
205	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
206	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
207	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
208	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
209	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
210	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
211	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
212	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
213	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
214	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
215	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
216	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
217	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
218	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
220	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
222	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
223	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
224	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
225	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
226	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
227	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
228	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
229	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
230	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
231	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
232	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
233	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
235	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
236	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
237	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
238	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
239	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
240	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
241	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
242	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
244	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
246	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
247	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
249	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
250	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
251	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
252	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
254	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
255	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
256	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
258	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
259	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
260	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
261	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
262	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
263	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
264	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
265	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
266	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
268	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
269	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
270	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
271	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
272	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
273	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
274	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
275	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
278	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
279	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
280	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
281	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
