dmr_index	cluster_name	chr	start	end	width	basin_residual_rank	module_id	abs_latent_residual_delta_beta	latent_residual_delta_beta	age_weight_5yr	overlap_public_chromatin	WT_meth_reads	WT_total_reads	WT_cpg_count	WT_beta	TET_TKO_meth_reads	TET_TKO_total_reads	TET_TKO_cpg_count	TET_TKO_beta	PKO_TET_DNMT3_meth_reads	PKO_TET_DNMT3_total_reads	PKO_TET_DNMT3_cpg_count	PKO_TET_DNMT3_beta	WT_to_TET_TKO_delta_beta	WT_to_PKO_delta_beta	TET_TKO_to_PKO_delta_beta	abs_WT_to_TET_TKO_delta_beta	abs_WT_to_PKO_delta_beta	abs_TET_TKO_to_PKO_delta_beta
10	cluster_2743	chr15	96894342	96894509	168	11	M07	0.11797099778706845	-0.11797099778706845	-0.030119887	True	1.61	202.0	8	0.00797029702970297	1.5619999999999998	257.0	8	0.006077821011673151	0.0	151.0	8	0.0	-0.0018924760180298195	-0.00797029702970297	-0.006077821011673151	0.0018924760180298195	0.00797029702970297	0.006077821011673151
11	cluster_6960	chr7	76828885	76829845	961	12	M01	0.11508728696770935	-0.11508728696770935	0.062913074	True	7.221	377.0	14	0.019153846153846153	11.475999999999999	446.0	14	0.02573094170403587	9.610999999999999	192.0	14	0.05005729166666666	0.006577095550189718	0.03090344551282051	0.02432634996263079	0.006577095550189718	0.03090344551282051	0.02432634996263079
12	cluster_1742	chr12	11151430	11151622	193	13	M08	0.1109335240179164	0.1109335240179164	0.010894564	True	3.513	103.0	4	0.034106796116504856	3.309	142.0	4	0.023302816901408452	3.535	91.0	4	0.03884615384615385	-0.010803979215096404	0.004739357729648994	0.015543336944745398	0.010803979215096404	0.004739357729648994	0.015543336944745398
13	cluster_6655	chr6	168963358	168963731	374	14	M01	0.10061235696372343	-0.10061235696372343	0.116026458	True	16.979	439.0	20	0.03867653758542141	17.85	726.0	20	0.024586776859504136	18.632999999999996	335.0	20	0.055620895522388046	-0.014089760725917274	0.016944357936966636	0.03103411866288391	0.014089760725917274	0.016944357936966636	0.03103411866288391
14	cluster_4404	chr2	74607470	74607600	131	15	M01	0.09722469353806078	-0.09722469353806078	-0.034161596	True	0.87	127.0	4	0.006850393700787402	1.296	151.0	4	0.008582781456953643	0.0	76.0	4	0.0	0.001732387756166241	-0.006850393700787402	-0.008582781456953643	0.001732387756166241	0.006850393700787402	0.008582781456953643
15	cluster_543	chr1	198828060	198828249	190	16	M08	0.0903190284088766	0.0903190284088766	0.018045133	True	5.310999999999999	156.0	6	0.03404487179487179	5.197	187.0	6	0.02779144385026738	5.223	138.0	6	0.03784782608695652	-0.006253427944604411	0.0038029542920847287	0.01005638223668914	0.006253427944604411	0.0038029542920847287	0.01005638223668914
16	cluster_4026	chr19	39806522	39806765	244	17	M03	0.08347397901705353	0.08347397901705353	-0.028841341	True	1.803	69.0	2	0.026130434782608694	1.746	71.0	2	0.02459154929577465	1.831	48.0	2	0.03814583333333333	-0.0015388854868340456	0.012015398550724636	0.013554284037558682	0.0015388854868340456	0.012015398550724636	0.013554284037558682
17	cluster_4904	chr21	31661731	31661998	268	18	M12	0.07951997997463606	0.07951997997463606	0.033716782	False	1.6680000000000001	55.0	2	0.03032727272727273	1.609	75.0	2	0.021453333333333335	1.938	35.0	2	0.05537142857142857	-0.008873939393939396	0.02504415584415584	0.03391809523809523	0.008873939393939396	0.02504415584415584	0.03391809523809523
18	cluster_6651	chr6	168867541	168867685	145	19	M01	0.07784538965855077	-0.07784538965855077	0.028197967	True	6.795	83.0	8	0.08186746987951807	6.675000000000001	164.0	8	0.04070121951219512	7.643	108.0	8	0.07076851851851852	-0.041166250367322944	-0.011098951360999545	0.0300672990063234	0.041166250367322944	0.011098951360999545	0.0300672990063234
19	cluster_5923	chr5	120191823	120192115	293	20	M09	0.0774541554875099	0.0774541554875099	0.033485903	True	8.96	245.0	10	0.036571428571428574	9.069	270.0	10	0.03358888888888889	9.658	180.0	10	0.053655555555555554	-0.002982539682539684	0.01708412698412698	0.020066666666666663	0.002982539682539684	0.01708412698412698	0.020066666666666663
20	cluster_242	chr1	33231070	33231109	40	21	M01	0.07736259075217462	0.07736259075217462	-0.017895363	True	0.534	52.0	2	0.01026923076923077	1.4380000000000002	41.0	2	0.03507317073170732	0.0	20.0	2	0.0	0.02480393996247655	-0.01026923076923077	-0.03507317073170732	0.02480393996247655	0.01026923076923077	0.03507317073170732
21	cluster_6087	chr6	2437142	2437147	6	22	M10	0.07473464492067426	-0.07473464492067426	0.055167825	False	2.0	33.0	2	0.06060606060606061	1.964	57.0	2	0.03445614035087719	1.933	32.0	2	0.06040625	-0.026149920255183416	-0.00019981060606060613	0.02595010964912281	0.026149920255183416	0.00019981060606060613	0.02595010964912281
22	cluster_6495	chr6	130182053	130182551	499	23	M09	0.07461082849874705	0.07461082849874705	0.010966867	True	11.027999999999999	438.0	12	0.025178082191780818	10.199	567.0	12	0.017987654320987655	10.456000000000001	264.0	12	0.03960606060606061	-0.0071904278707931625	0.014427978414279792	0.021618406285072955	0.0071904278707931625	0.014427978414279792	0.021618406285072955
23	cluster_7072	chr7	132435910	132436239	330	24	M01	0.07313538531657726	-0.07313538531657726	0.08261671799999999	True	3.8240000000000003	223.0	8	0.01714798206278027	6.866	171.0	8	0.04015204678362573	6.8660000000000005	104.0	8	0.06601923076923077	0.02300406472084546	0.0488712487064505	0.025867183985605044	0.02300406472084546	0.0488712487064505	0.025867183985605044
24	cluster_2190	chr13	58299015	58299073	59	25	M12	0.07108962890199759	0.07108962890199759	0.06732152200000001	True	1.002	71.0	2	0.014112676056338027	1.4969999999999999	68.0	2	0.02201470588235294	1.0	28.0	2	0.03571428571428571	0.007902029826014912	0.021601609657947683	0.013699579831932773	0.007902029826014912	0.021601609657947683	0.013699579831932773
25	cluster_587	chr1	213122829	213123025	197	26	M05	0.06936499188912126	-0.06936499188912126	-0.017575416	True	1.784	67.0	2	0.02662686567164179	1.697	86.0	2	0.019732558139534884	1.8639999999999999	44.0	2	0.04236363636363636	-0.006894307532106906	0.01573677069199457	0.022631078224101476	0.006894307532106906	0.01573677069199457	0.022631078224101476
26	cluster_125	chr1	6529710	6530205	496	27	M07	0.06392871898753896	-0.06392871898753896	-0.020406298	True	4.573	155.0	5	0.029503225806451615	4.38	196.0	5	0.022346938775510205	3.684	94.0	5	0.03919148936170213	-0.00715628703094141	0.009688263555250515	0.016844550586191925	0.00715628703094141	0.009688263555250515	0.016844550586191925
27	cluster_5002	chr22	26829758	26830041	284	28	M01	0.06206678272947911	-0.06206678272947911	0.073881417	True	17.361	540.0	19	0.03215	17.796000000000003	398.0	19	0.044713567839195986	18.251	350.0	19	0.05214571428571429	0.012563567839195988	0.01999571428571429	0.007432146446518302	0.012563567839195988	0.01999571428571429	0.007432146446518302
28	cluster_643	chr1	236192895	236192973	79	29	M13	0.06180020068831344	0.06180020068831344	0.045617076	True	9.507000000000001	232.0	10	0.04097844827586208	9.535	237.0	10	0.04023206751054852	9.888	200.0	10	0.04944	-0.0007463807653135535	0.008461551724137921	0.009207932489451474	0.0007463807653135535	0.008461551724137921	0.009207932489451474
29	cluster_832	chr10	17347047	17347391	345	30	M01	0.06166929719687478	0.06166929719687478	0.093944091	True	13.519000000000002	173.0	14	0.07814450867052024	12.683000000000002	320.0	14	0.039634375000000006	12.733	112.0	14	0.11368750000000001	-0.03851013367052023	0.03554299132947977	0.074053125	0.03851013367052023	0.03554299132947977	0.074053125
30	cluster_5679	chr4	186427685	186427765	81	31	M01	0.06131858774405247	-0.06131858774405247	0.024534686	True	5.025	93.0	6	0.054032258064516135	4.856	125.0	6	0.038848	5.397	92.0	6	0.05866304347826087	-0.015184258064516135	0.004630785413744738	0.019815043478260873	0.015184258064516135	0.004630785413744738	0.019815043478260873
31	cluster_1387	chr11	59824038	59824089	52	32	M12	0.05917032505379138	0.05917032505379138	0.027980847000000003	True	1.5819999999999999	78.0	2	0.02028205128205128	1.7029999999999998	61.0	2	0.027918032786885243	1.8319999999999999	49.0	2	0.037387755102040815	0.007635981504833963	0.017105703819989534	0.009469722315155572	0.007635981504833963	0.017105703819989534	0.009469722315155572
32	cluster_6114	chr6	7248862	7248983	122	33	M01	0.05900512375137872	-0.05900512375137872	0.03469714	True	7.385	133.0	8	0.05552631578947368	7.5440000000000005	136.0	8	0.05547058823529412	7.177	90.0	8	0.07974444444444444	-5.572755417956182e-05	0.024218128654970757	0.02427385620915032	5.572755417956182e-05	0.024218128654970757	0.02427385620915032
33	cluster_1764	chr12	25801455	25801621	167	34	M15	0.056940770422262976	-0.056940770422262976	0.045710488	True	3.585	127.0	5	0.028228346456692914	3.723	145.0	5	0.025675862068965518	4.232	71.0	5	0.0596056338028169	-0.002552484387727396	0.03137728734612399	0.03392977173385138	0.002552484387727396	0.03137728734612399	0.03392977173385138
34	cluster_5661	chr4	177190237	177190421	185	35	M01	0.051670412114539495	0.051670412114539495	0.055498035	True	6.546	251.0	7	0.026079681274900398	6.639	196.0	7	0.03387244897959184	6.417	158.0	7	0.04061392405063291	0.00779276770469144	0.014534242775732512	0.006741475071041073	0.00779276770469144	0.014534242775732512	0.006741475071041073
35	cluster_6975	chr7	94927713	94928249	537	36	M03	0.04996564627518983	-0.04996564627518983	0.037164296	True	5.4750000000000005	236.0	6	0.023199152542372883	5.159	204.0	6	0.02528921568627451	5.739999999999999	127.0	6	0.045196850393700784	0.0020900631439016264	0.0219976978513279	0.019907634707426274	0.0020900631439016264	0.0219976978513279	0.019907634707426274
36	cluster_3348	chr17	38911538	38911540	3	37	M02	0.04738931923287908	0.04738931923287908	0.023898612000000003	True	1.7570000000000001	83.0	2	0.021168674698795183	1.7890000000000001	114.0	2	0.015692982456140352	1.905	40.0	2	0.047625	-0.005475692242654831	0.026456325301204817	0.031932017543859645	0.005475692242654831	0.026456325301204817	0.031932017543859645
37	cluster_5977	chr5	147040667	147040773	107	38	M06	0.04621324834127211	0.04621324834127211	0.060793808	True	7.286	209.0	8	0.03486124401913875	7.38	165.0	8	0.04472727272727273	7.703	132.0	8	0.058356060606060606	0.009866028708133974	0.023494816586921853	0.013628787878787879	0.009866028708133974	0.023494816586921853	0.013628787878787879
38	cluster_4909	chr21	32014696	32015231	536	39	M15	0.0455104341629634	0.0455104341629634	0.023414564	False	5.690999999999999	173.0	6	0.03289595375722543	5.335	144.0	6	0.03704861111111111	5.576	101.0	6	0.0552079207920792	0.004152657353885682	0.022311967034853775	0.018159309680968093	0.004152657353885682	0.022311967034853775	0.018159309680968093
39	cluster_1718	chr12	7188165	7188426	262	40	M00	0.04482086841341994	0.04482086841341994	0.013745268	True	9.637	332.0	11	0.02902710843373494	10.165999999999999	322.0	11	0.03157142857142857	10.402	188.0	11	0.05532978723404255	0.00254432013769363	0.026302678800307608	0.023758358662613978	0.00254432013769363	0.026302678800307608	0.023758358662613978
40	cluster_6532	chr6	152702330	152702463	134	41	M09	0.043380022403273	0.043380022403273	0.037280463	True	5.898	235.0	7	0.025097872340425532	6.262	220.0	7	0.02846363636363636	5.48	97.0	7	0.05649484536082475	0.0033657640232108293	0.03139697302039922	0.028031208997188386	0.0033657640232108293	0.03139697302039922	0.028031208997188386
41	cluster_2365	chr14	24630327	24630512	186	42	M07	0.04206595171579531	-0.04206595171579531	-0.041337281	True	0.08	158.0	6	0.0005063291139240507	0.253	182.0	6	0.0013901098901098901	0.0	96.0	6	0.0	0.0008837807761858395	-0.0005063291139240507	-0.0013901098901098901	0.0008837807761858395	0.0005063291139240507	0.0013901098901098901
42	cluster_1758	chr12	20848285	20848473	189	43	M01	0.04146978517954862	0.04146978517954862	0.027213681	True	1.65	93.0	4	0.017741935483870968	2.749	68.0	4	0.04042647058823529	2.287	40.0	4	0.057175	0.022684535104364325	0.03943306451612903	0.016748529411764704	0.022684535104364325	0.03943306451612903	0.016748529411764704
43	cluster_6604	chr6	167173257	167173343	87	44	M03	0.04068701600287178	0.04068701600287178	0.013598211	True	9.950000000000001	111.0	11	0.08963963963963965	9.174999999999999	228.0	11	0.04024122807017543	10.013	145.0	11	0.06905517241379311	-0.04939841156946422	-0.020584467225846545	0.028813944343617677	0.04939841156946422	0.020584467225846545	0.028813944343617677
44	cluster_3519	chr17	76481380	76481729	350	45	M01	0.03961550093922482	-0.03961550093922482	0.033654647	True	4.377	100.0	12	0.043769999999999996	9.966999999999999	194.0	12	0.05137628865979381	11.263	116.0	12	0.0970948275862069	0.007606288659793813	0.0533248275862069	0.04571853892641309	0.007606288659793813	0.0533248275862069	0.04571853892641309
45	cluster_916	chr10	74870240	74870311	72	46	M02	0.03477969827616953	0.03477969827616953	-0.025276367	True	0.161	123.0	4	0.0013089430894308942	1.135	153.0	4	0.007418300653594771	0.0	107.0	4	0.0	0.006109357564163877	-0.0013089430894308942	-0.007418300653594771	0.006109357564163877	0.0013089430894308942	0.007418300653594771
46	cluster_3684	chr18	61817088	61817320	233	47	M02	0.03303168106417983	0.03303168106417983	0.042859403	True	7.304	192.0	8	0.03804166666666667	6.803999999999999	317.0	8	0.021463722397476338	7.640000000000001	204.0	8	0.037450980392156864	-0.01657794426919033	-0.0005906862745098038	0.015987257994680527	0.01657794426919033	0.0005906862745098038	0.015987257994680527
47	cluster_1556	chr11	108408950	108408962	13	48	M00	0.03260139379560621	-0.03260139379560621	0.027292831	True	1.887	56.0	2	0.03369642857142857	1.6720000000000002	67.0	2	0.024955223880597018	1.781	45.0	2	0.039577777777777774	-0.008741204690831554	0.005881349206349203	0.014622553897180757	0.008741204690831554	0.005881349206349203	0.014622553897180757
48	cluster_6143	chr6	25650786	25651144	359	49	M08	0.03248292470823936	0.03248292470823936	0.008409488	True	3.41	105.0	4	0.03247619047619048	2.889	131.0	4	0.022053435114503816	3.402	83.0	4	0.04098795180722892	-0.010422755361686662	0.00851176133103844	0.0189345166927251	0.010422755361686662	0.00851176133103844	0.0189345166927251
49	cluster_5240	chr3	99904510	99904609	100	50	M06	0.03065701071486172	0.03065701071486172	0.021563529	True	2.697	122.0	3	0.022106557377049182	2.6580000000000004	103.0	3	0.02580582524271845	2.773	66.0	3	0.04201515151515152	0.003699267865669268	0.019908594138102337	0.01620932627243307	0.003699267865669268	0.019908594138102337	0.01620932627243307
50	cluster_4364	chr2	44502740	44502977	238	51	M04	0.028761783519538973	0.028761783519538973	0.050410937	True	8.561	291.0	9	0.029419243986254295	8.201	327.0	9	0.025079510703363915	8.768	209.0	9	0.04195215311004785	-0.00433973328289038	0.012532909123793557	0.016872642406683937	0.00433973328289038	0.012532909123793557	0.016872642406683937
51	cluster_950	chr10	95123718	95123774	57	52	M03	0.028665678768162717	-0.028665678768162717	0.033547863	True	7.679	187.0	8	0.04106417112299465	7.694999999999999	246.0	8	0.03128048780487805	7.833	124.0	8	0.06316935483870968	-0.009783683318116604	0.02210518371571503	0.03188886703383163	0.009783683318116604	0.02210518371571503	0.03188886703383163
52	cluster_1523	chr11	74978433	74978559	127	53	M06	0.028657784752583106	0.028657784752583106	0.06626217400000001	True	8.46	152.0	9	0.05565789473684211	8.222	214.0	9	0.03842056074766355	8.286	125.0	9	0.066288	-0.01723733398917856	0.010630105263157892	0.02786743925233645	0.01723733398917856	0.010630105263157892	0.02786743925233645
53	cluster_4907	chr21	31802169	31802829	661	54	M08	0.028191874667370782	0.028191874667370782	0.025709315	False	7.223	226.0	9	0.03196017699115044	7.519000000000001	234.0	9	0.03213247863247864	7.9350000000000005	161.0	9	0.04928571428571429	0.00017230164132819858	0.017325537294563848	0.01715323565323565	0.00017230164132819858	0.017325537294563848	0.01715323565323565
54	cluster_3660	chr18	28742633	28743074	442	55	M04	0.02673350276848525	-0.02673350276848525	0.042266849	True	4.78	104.0	6	0.04596153846153846	5.2940000000000005	163.0	6	0.032478527607361966	5.219	81.0	6	0.0644320987654321	-0.013483010854176497	0.018470560303893636	0.03195357115807013	0.013483010854176497	0.018470560303893636	0.03195357115807013
55	cluster_5064	chr22	46370644	46371152	509	56	M07	0.026514052553844446	-0.026514052553844446	-0.024982701	True	2.9429999999999996	243.0	10	0.012111111111111109	8.049	237.0	10	0.033962025316455695	7.8053	136.0	10	0.05739191176470588	0.021850914205344588	0.04528080065359477	0.023429886448250184	0.021850914205344588	0.04528080065359477	0.023429886448250184
56	cluster_4532	chr2	159651559	159651918	360	57	M13	0.02555737957017126	0.02555737957017126	0.015502877	True	3.3449999999999998	130.0	5	0.025730769230769227	3.931	108.0	5	0.03639814814814815	3.7840000000000003	66.0	5	0.05733333333333334	0.010667378917378924	0.03160256410256411	0.02093518518518519	0.010667378917378924	0.03160256410256411	0.02093518518518519
57	cluster_3762	chr19	863226	863244	19	58	M07	0.02547921617054224	0.02547921617054224	-0.027459185	True	0.8210000000000001	49.0	2	0.016755102040816327	1.784	46.0	2	0.03878260869565218	1.95	41.0	2	0.0475609756097561	0.02202750665483585	0.03080587356893977	0.00877836691410392	0.02202750665483585	0.03080587356893977	0.00877836691410392
58	cluster_6518	chr6	143929300	143929511	212	59	M04	0.024956902722702987	0.024956902722702987	0.059909335	True	6.102	235.0	8	0.02596595744680851	6.74	255.0	8	0.02643137254901961	6.188000000000001	162.0	8	0.03819753086419753	0.0004654151022110975	0.012231573417389022	0.011766158315177924	0.0004654151022110975	0.012231573417389022	0.011766158315177924
59	cluster_1715	chr12	7032991	7033911	921	60	M06	0.02420769871557924	-0.02420769871557924	-0.061309439	True	7.169	571.0	20	0.012555166374781086	8.344000000000001	593.0	20	0.014070826306914	5.3926	359.0	20	0.01502116991643454	0.0015156599321329133	0.0024660035416534543	0.000950343609520541	0.0015156599321329133	0.0024660035416534543	0.000950343609520541
60	cluster_7425	chr8	19460935	19461068	134	61	M01	0.02389330799416733	0.02389330799416733	0.051781861	True	6.537999999999999	137.0	7	0.04772262773722627	6.363	216.0	7	0.029458333333333336	6.561	171.0	7	0.03836842105263158	-0.018264294403892933	-0.00935420668459469	0.008910087719298243	0.018264294403892933	0.00935420668459469	0.008910087719298243
61	cluster_1333	chr11	44328423	44329915	1493	62	M04	0.02385699435247903	-0.02385699435247903	-0.042831805999999986	True	6.3790000000000004	793.0	28	0.008044136191677176	15.261999999999999	814.0	28	0.018749385749385748	13.7967	466.0	28	0.02960665236051502	0.010705249557708572	0.021562516168837843	0.010857266611129273	0.010705249557708572	0.021562516168837843	0.010857266611129273
62	cluster_5928	chr5	126984765	126984994	230	63	M04	0.02366686550510441	0.02366686550510441	0.052801687	True	4.284	170.0	6	0.0252	4.866	196.0	6	0.024826530612244897	4.2	119.0	6	0.03529411764705882	-0.0003734693877551036	0.010094117647058823	0.010467587034813926	0.0003734693877551036	0.010094117647058823	0.010467587034813926
63	cluster_1688	chr12	1738035	1738060	26	64	M02	0.02325758337558164	0.02325758337558164	-0.051417718	False	0.078	51.0	2	0.0015294117647058824	1.411	34.0	2	0.0415	0.2556	38.0	2	0.006726315789473684	0.03997058823529412	0.005196904024767802	-0.03477368421052632	0.03997058823529412	0.005196904024767802	0.03477368421052632
64	cluster_5215	chr3	63428234	63428840	607	65	M13	0.02257791147741315	0.02257791147741315	0.019791166	True	6.659000000000001	280.0	10	0.02378214285714286	8.109	334.0	10	0.024278443113772454	6.869999999999999	216.0	10	0.03180555555555555	0.0004963002566295942	0.008023412698412693	0.007527112441783099	0.0004963002566295942	0.008023412698412693	0.007527112441783099
65	cluster_1806	chr12	49371182	49371310	129	66	M06	0.022568391044334942	0.022568391044334942	-0.025223915	True	1.5450000000000002	122.0	3	0.01266393442622951	2.449	94.0	3	0.0260531914893617	2.432	64.0	3	0.038	0.01338925706313219	0.025336065573770487	0.011946808510638299	0.01338925706313219	0.025336065573770487	0.011946808510638299
66	cluster_840	chr10	23287263	23287284	22	67	M13	0.022510081405926686	0.022510081405926686	0.08106502	True	1.786	66.0	2	0.027060606060606063	1.707	61.0	2	0.027983606557377052	1.8	50.0	2	0.036000000000000004	0.0009230004967709891	0.008939393939393941	0.008016393442622952	0.0009230004967709891	0.008939393939393941	0.008016393442622952
67	cluster_2776	chr16	685580	685686	107	68	M14	0.02243036316972645	-0.02243036316972645	-0.057703016	True	3.282	104.0	5	0.03155769230769231	3.7119999999999997	66.0	5	0.05624242424242424	3.215	72.0	5	0.04465277777777778	0.024684731934731932	0.01309508547008547	-0.011589646464646462	0.024684731934731932	0.01309508547008547	0.011589646464646462
68	cluster_6406	chr6	40359007	40359130	124	69	M02	0.021592150581891487	0.021592150581891487	-0.039827347	True	2.4299999999999997	74.0	3	0.032837837837837835	2.576	48.0	3	0.05366666666666667	2.4130000000000003	49.0	3	0.04924489795918368	0.020828828828828833	0.016407060121345844	-0.004421768707482988	0.020828828828828833	0.016407060121345844	0.004421768707482988
69	cluster_6171	chr6	29555799	29556229	431	70	M04	0.021250280367365745	0.021250280367365745	0.026677932	True	7.027000000000001	207.0	8	0.03394685990338165	6.829000000000001	209.0	8	0.03267464114832536	6.962	113.0	8	0.061610619469026545	-0.001272218755056287	0.027663759565644895	0.028935978320701182	0.001272218755056287	0.027663759565644895	0.028935978320701182
70	cluster_2324	chr13	114865944	114866221	278	71	M14	0.020674366566264403	0.020674366566264403	-0.070097421	True	10.923	308.0	13	0.03546428571428571	10.136999999999999	366.0	13	0.027696721311475405	10.683	194.0	13	0.05506701030927835	-0.007767564402810307	0.01960272459499264	0.027370288997802947	0.007767564402810307	0.01960272459499264	0.027370288997802947
71	cluster_2126	chr13	22058122	22058128	7	72	M02	0.020437472066274085	0.020437472066274085	0.054376277	False	2.95	65.0	3	0.045384615384615384	2.435	43.0	3	0.056627906976744184	2.923	40.0	3	0.073075	0.0112432915921288	0.027690384615384617	0.016447093023255817	0.0112432915921288	0.027690384615384617	0.016447093023255817
72	cluster_3133	chr16	88717755	88717989	235	73	M14	0.020431413895555767	-0.020431413895555767	-0.018315712	True	2.3160000000000003	109.0	6	0.021247706422018352	2.126	111.0	6	0.019153153153153153	0.654	102.0	6	0.006411764705882353	-0.0020945532688652	-0.014835941716136	-0.0127413884472708	0.0020945532688652	0.014835941716136	0.0127413884472708
73	cluster_915	chr10	74714308	74714935	628	74	M07	0.01999353420964911	-0.01999353420964911	0.034264481	True	10.444999999999999	333.0	12	0.03136636636636636	11.078	332.0	12	0.03336746987951807	11.838000000000001	208.0	12	0.056913461538461545	0.0020011035131517127	0.025547095172095184	0.02354599165894347	0.0020011035131517127	0.025547095172095184	0.02354599165894347
74	cluster_4920	chr21	39627271	39628679	1409	75	M13	0.019617327282446258	0.019617327282446258	0.027287077000000003	True	15.368	419.0	17	0.03667780429594272	15.243000000000002	479.0	17	0.03182254697286013	16.364	204.0	17	0.08021568627450981	-0.00485525732308259	0.04353788197856709	0.04839313930164968	0.00485525732308259	0.04353788197856709	0.04839313930164968
75	cluster_4084	chr19	47745212	47745582	371	76	M04	0.01955094844231297	-0.01955094844231297	-0.019523443	True	5.618	211.0	6	0.026625592417061614	5.363	120.0	6	0.04469166666666667	5.26	119.0	6	0.04420168067226891	0.018066074249605057	0.017576088255207293	-0.0004899859943977639	0.018066074249605057	0.017576088255207293	0.0004899859943977639
76	cluster_634	chr1	234293071	234293143	73	77	M13	0.019127026406937114	0.019127026406937114	0.102996079	True	5.616	127.0	6	0.04422047244094488	5.396000000000001	179.0	6	0.03014525139664805	5.537999999999999	117.0	6	0.047333333333333324	-0.014075221044296832	0.003112860892388443	0.017188081936685275	0.014075221044296832	0.003112860892388443	0.017188081936685275
