biological_theme	source	term_id	term_name	p_value_gprofiler	minus_log10_p	intersection_size	representative_genes
development_and_patterning	WP	WP:WP1591	Heart development	0.6620260832039608	0.17912489942979332	2	SMYD1,NKX2-5
development_and_patterning	GO:BP	GO:0002088	lens development in camera-type eye	0.6698913070201984	0.17399565788236518	3	WNT5B,CRYBA2,WNT7B
development_and_patterning;stemness_differentiation	GO:BP	GO:0048598	embryonic morphogenesis	0.7395993095357722	0.13100350295491978	6	WNT5B,GREM2,ALX4,WNT7B,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0001942	hair follicle development	0.9150474150377034	0.03855640150107723	3	DSC1,ALX4,KRT25
chromatin_epigenetic_regulation	GO:MF	GO:0003682	chromatin binding	1.0	-0.0	3	ARID3C,HOXD10,NKX2-5
chromatin_epigenetic_regulation	WP	WP:WP2369	Histone modifications	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:MF	GO:0042054	histone methyltransferase activity	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:MF	GO:0042800	histone H3K4 methyltransferase activity	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:CC	GO:0000785	chromatin	1.0	-0.0	5	IRF9,ST18,ALX4,HOXD10,NKX2-5
chromatin_epigenetic_regulation	GO:MF	GO:0140938	histone H3 methyltransferase activity	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:MF	GO:0140993	histone modifying activity	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:MF	GO:0140999	histone H3K4 trimethyltransferase activity	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:BP	GO:0032259	methylation	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:BP	GO:0006325	chromatin organization	1.0	-0.0	1	SMYD1
chromatin_epigenetic_regulation	GO:BP	GO:0006338	chromatin remodeling	1.0	-0.0	1	SMYD1
development_and_patterning	GO:BP	GO:0051216	cartilage development	1.0	-0.0	2	WNT5B,WNT7B
development_and_patterning	GO:BP	GO:0055123	digestive system development	1.0	-0.0	1	ALX4
development_and_patterning	GO:BP	GO:0060021	roof of mouth development	1.0	-0.0	1	ALX4
development_and_patterning	GO:BP	GO:0055001	muscle cell development	1.0	-0.0	2	ANK2,NKX2-5
development_and_patterning	GO:BP	GO:0055002	striated muscle cell development	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0055006	cardiac cell development	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0055008	cardiac muscle tissue morphogenesis	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0048935	peripheral nervous system neuron development	1.0	-0.0	1	HOXD10
development_and_patterning	GO:BP	GO:0050793	regulation of developmental process	1.0	-0.0	5	WNT5B,WNT7B,SMOC2,SMYD1,NKX2-5
development_and_patterning	GO:BP	GO:0051093	negative regulation of developmental process	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0051094	positive regulation of developmental process	1.0	-0.0	5	WNT5B,WNT7B,SMOC2,SMYD1,NKX2-5
development_and_patterning	GO:BP	GO:0060711	labyrinthine layer development	1.0	-0.0	1	WNT7B
development_and_patterning	GO:BP	GO:0060713	labyrinthine layer morphogenesis	1.0	-0.0	1	WNT7B
development_and_patterning	GO:BP	GO:0060838	lymphatic endothelial cell fate commitment	1.0	-0.0	1	NR2F2
development_and_patterning	GO:BP	GO:0060839	endothelial cell fate commitment	1.0	-0.0	1	NR2F2
development_and_patterning	GO:BP	GO:0060674	placenta blood vessel development	1.0	-0.0	1	NR2F2
development_and_patterning	GO:BP	GO:0060841	venous blood vessel development	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0060923	cardiac muscle cell fate commitment	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0060926	cardiac pacemaker cell development	1.0	-0.0	1	NKX2-5
development_and_patterning	GO:BP	GO:0060433	bronchus development	1.0	-0.0	1	WNT7B
development_and_patterning	GO:BP	GO:0060438	trachea development	1.0	-0.0	1	WNT7B
