chr	start	end	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	hESC_beta	hESC_total	hTSC_beta	hTSC_total	tdhTSC_beta	tdhTSC_total	hTSC_minus_hESC_beta	tdhTSC_minus_hESC_beta
chr19	18284120	18284450	cluster_3967	88	0.013740044568184	M06	0.7857142857142857	14	0.5882352941176471	68	0.6923076923076923	78	-0.19747899159663862	-0.09340659340659341
chr21	17961737	17962124	cluster_4897	89	-0.0136649263686845	M06	0.0	5	0.125	8	0.0	14	0.125	0.0
chr1	6546027	6546646	cluster_126	90	-0.0135635274944179	M06	1.0	25	0.6981132075471698	53	0.746031746031746	63	-0.30188679245283023	-0.25396825396825395
chr10	134661502	134661640	cluster_1126	91	-0.0135334574224416	M00		0		0		0		
chr5	1855899	1856713	cluster_5760	92	0.0134841343385623	M06	1.0	70	0.20224719101123595	267	0.42272727272727273	220	-0.797752808988764	-0.5772727272727273
chr6	54172183	54172378	cluster_6442	93	-0.0131981346851816	M02	1.0	5	0.041666666666666664	24	0.15384615384615385	26	-0.9583333333333334	-0.8461538461538461
chr10	116444240	116444463	cluster_1007	94	0.0125476901199886	M00	0.9666666666666667	30	0.0	56	0.06	50	-0.9666666666666667	-0.9066666666666667
chr1	228604953	228605010	cluster_618	95	0.0124576729934927	M02		0		0		0		
chr2	167168604	167168852	cluster_4538	96	-0.0121196315524591	M01	0.9310344827586207	29	0.05263157894736842	76	0.10526315789473684	19	-0.8784029038112522	-0.8257713248638838
chr19	13214412	13215041	cluster_3928	97	-0.0120497501188807	M01	0.9375	48	0.3148148148148148	54	0.5714285714285714	119	-0.6226851851851851	-0.3660714285714286
chr11	122756770	122756965	cluster_1607	98	0.0117056333091945	M06	0.9375	16	0.8181818181818182	33	0.9354838709677419	31	-0.11931818181818177	-0.0020161290322581182
chr9	34628025	34628238	cluster_7683	99	-0.0115945833010138	M06	0.9090909090909091	11	0.0	5	0.18181818181818182	11	-0.9090909090909091	-0.7272727272727273
chr5	172662724	172663219	cluster_6020	100	-0.0114444631483763	M06	0.9	10	0.3023255813953488	43	0.5526315789473685	76	-0.5976744186046512	-0.34736842105263155
chr7	140218068	140218338	cluster_7095	101	0.011326551648274	M06	1.0	7	0.5238095238095238	21	0.7619047619047619	21	-0.47619047619047616	-0.23809523809523814
chr1	47901555	47902085	cluster_293	102	-0.0113203313595498	M00	0.5	14	0.0	26	0.0	30	-0.5	-0.5
chr1	1135492	1135955	cluster_23	103	0.0109137307456697	M06	0.8181818181818182	33	0.37962962962962965	108	0.5196078431372549	102	-0.4385521885521886	-0.2985739750445633
chr7	121651766	121652024	cluster_7052	104	-0.0107305322500505	M08		0		0		0		
chr2	176983285	176983519	cluster_4551	105	0.0105117013064552	M00	1.0	8	0.1111111111111111	9	0.42857142857142855	7	-0.8888888888888888	-0.5714285714285714
chr4	174457944	174458502	cluster_5656	106	0.0102486990911319	M14	1.0	17	0.40625	32	0.48484848484848486	33	-0.59375	-0.5151515151515151
chr16	88165722	88165938	cluster_3123	107	0.0100925810247043	M01	0.875	32	0.12903225806451613	62	0.2	85	-0.7459677419354839	-0.675
chr19	46170946	46171507	cluster_4064	108	-0.0098634878555215	M06	0.9310344827586207	29	0.44329896907216493	97	0.5569620253164557	79	-0.48773551368645574	-0.374072457442165
chr11	2909690	2909715	cluster_1257	109	-0.0096917226454566	M02		0	0.0	7	0.14285714285714285	21		
chr4	175752696	175752781	cluster_5659	110	0.0094636497262664	M07		0		0		0		
chr15	91447374	91447749	cluster_2727	111	0.0090489299184929	M02	1.0	12	0.05714285714285714	35	0.26666666666666666	30	-0.9428571428571428	-0.7333333333333334
chr2	219860379	219860717	cluster_4593	112	-0.0089748354245758	M06	0.9310344827586207	29	0.4878048780487805	41	0.5238095238095238	42	-0.4432296047098402	-0.4072249589490968
chr4	1794043	1794084	cluster_5447	113	0.0086766287176006	M02	0.0	3	0.0	25	0.0	28	0.0	0.0
chr4	114213574	114214449	cluster_5608	114	0.0086324813042938	M00	0.9642857142857143	28	0.0	32	0.2711864406779661	59	-0.9642857142857143	-0.6930992736077481
chr3	177315226	177315882	cluster_5336	115	0.0085940936800676	M06	0.9285714285714286	28	0.5961538461538461	52	0.6538461538461539	26	-0.33241758241758246	-0.27472527472527475
chr17	26553567	26554245	cluster_3303	116	0.0085939111069334	M02	0.6219081272084805	283	0.0792838874680307	391	0.12806539509536785	367	-0.5426242397404498	-0.4938427321131127
chr6	36237982	36238410	cluster_6400	117	0.0079365451189275	M04	1.0	13	0.5652173913043478	23	0.6666666666666666	27	-0.4347826086956522	-0.33333333333333337
chr2	88366775	88367503	cluster_4420	118	0.0078800653460011	M06	1.0	28	0.7210526315789474	190	0.7373737373737373	99	-0.2789473684210526	-0.26262626262626265
chr12	120242490	120242513	cluster_1976	119	-0.0077316862708786	M01		0		0		0		
chr11	62559856	62559882	cluster_1406	120	0.0074696948770885	M07		0		0		0		
chr21	22175001	22175522	cluster_4899	121	0.0073274438649349	M00	1.0	1	0.8571428571428571	7	1.0	6	-0.1428571428571429	0.0
chr8	1563040	1563113	cluster_7341	122	0.0072423769026625	M03		0	0.6451612903225806	31	0.125	8		
chr11	111956647	111956885	cluster_1564	123	-0.0071050622888113	M02	1.0	29	0.35135135135135137	37	0.5061728395061729	81	-0.6486486486486487	-0.49382716049382713
chr17	39685250	39685912	cluster_3362	124	0.0069950097435394	M02	0.9642857142857143	28	0.4791666666666667	48	0.40540540540540543	37	-0.4851190476190476	-0.5588803088803089
chr4	683148	683772	cluster_5400	125	0.0069035186180976	M02	0.9615384615384616	26	0.42063492063492064	126	0.6530612244897959	147	-0.540903540903541	-0.3084772370486657
chr17	40333521	40333758	cluster_3369	126	0.0067836463293485	M02	1.0	19	0.6842105263157895	19	0.7727272727272727	22	-0.3157894736842105	-0.2272727272727273
chr19	18902527	18902727	cluster_3978	127	-0.0066719968616041	M06	1.0	14	0.5	14	0.8	25	-0.5	-0.19999999999999996
chr7	27225772	27226329	cluster_6871	128	0.0064412208159518	M02	0.078125	64	0.1511627906976744	86	0.10884353741496598	147	0.07303779069767441	0.030718537414965982
chr12	102872603	102873312	cluster_1922	129	0.0063867158268501	M04	0.7368421052631579	19	0.020833333333333332	48	0.10810810810810811	37	-0.7160087719298245	-0.6287339971550497
chr12	56131768	56132083	cluster_1851	130	-0.0059938138733272	M02	1.0	3	0.8947368421052632	19	0.75	12	-0.10526315789473684	-0.25
chr14	23525003	23525720	cluster_2355	131	0.0058218859076673	M11	0.9722222222222222	72	0.16279069767441862	129	0.3315508021390374	187	-0.8094315245478036	-0.6406714200831848
chr10	71560212	71560231	cluster_900	132	0.0054206039368366	M02		0		0		0		
chr17	46676215	46676375	cluster_3416	133	0.0051703497683711	M02	1.0	3	1.0	14		0	0.0	
chr19	40005557	40005602	cluster_4028	134	0.0049639717947311	M02	1.0	3	0.125	8	0.25	8	-0.875	-0.75
chr5	140709983	140710237	cluster_5966	135	-0.0047669051413519	M02	1.0	22	0.7368421052631579	38	0.8461538461538461	65	-0.26315789473684215	-0.15384615384615385
chr22	32598479	32598570	cluster_5024	136	-0.0045462418781285	M02	1.0	11	0.8181818181818182	22	0.75	16	-0.18181818181818177	-0.25
chr1	6519923	6520194	cluster_123	137	-0.0044926365869018	M11	0.058823529411764705	34	0.08064516129032258	62	0.08163265306122448	49	0.021821631878557873	0.022809123649459778
chr8	53080905	53081140	cluster_7504	138	0.0044878001320038	M00	0.4	5	0.0	6	0.0	11	-0.4	-0.4
chr3	114036607	114036631	cluster_5252	139	0.0044561738151872	M15		0		0		0		
chr6	31737630	31737885	cluster_6275	140	-0.0043033178568181	M06	0.0	1	0.0	7	0.07142857142857142	14	0.0	0.07142857142857142
chr10	50816058	50816262	cluster_883	141	0.0040790838873312	M02	0.5	2	0.1111111111111111	9	0.0	9	-0.3888888888888889	-0.5
chr7	100077221	100077394	cluster_7000	142	0.0038976825557504	M02	1.0	9	0.7857142857142857	14	0.7857142857142857	28	-0.2142857142857143	-0.2142857142857143
chr16	2073518	2073792	cluster_2832	143	0.0037662201832184	M02	1.0	10	0.9230769230769231	26	0.8888888888888888	27	-0.07692307692307687	-0.11111111111111116
chr1	66797701	66798063	cluster_315	144	-0.0035426819026432	M00	0.8571428571428571	7	0.15384615384615385	13	0.0	13	-0.7032967032967032	-0.8571428571428571
chr1	120311439	120311653	cluster_386	145	-0.0025304369417066	M00	1.0	12	0.0	38	0.03571428571428571	28	-1.0	-0.9642857142857143
chr8	143202730	143203654	cluster_7612	146	-0.0024722167083421	M04	0.9147286821705426	129	0.45685279187817257	197	0.40540540540540543	111	-0.45787589029237	-0.5093232767651372
chr17	37764503	37764802	cluster_3336	147	0.0024505685203961	M02	0.9130434782608695	23	0.38095238095238093	42	0.21568627450980393	51	-0.5320910973084886	-0.6973572037510656
chr3	147112541	147113092	cluster_5307	148	-0.002172344139453	M02	1.0	4	0.0	15	0.2857142857142857	7	-1.0	-0.7142857142857143
chr12	101988756	101988803	cluster_1921	149	-0.0020292941244891	M08		0	0.0	5	0.0	2		
chr1	2559320	2559371	cluster_67	150	0.0019896580789447	M02		0		0		0		
chr1	240783328	240783389	cluster_652	151	0.0014656449645791	M00		0		0		0		
chr16	27899239	27899404	cluster_2910	152	0.0014337262853429	M00	1.0	14	0.01818181818181818	55	0.045454545454545456	44	-0.9818181818181818	-0.9545454545454546
chr15	48413040	48413344	cluster_2637	153	-0.0010649187275356	M06	1.0	5	0.5384615384615384	13	0.6486486486486487	37	-0.46153846153846156	-0.3513513513513513
chr6	41375649	41376295	cluster_6410	154	0.0005424621144622	M06	0.04395604395604396	91	0.041666666666666664	168	0.09944751381215469	181	-0.002289377289377295	0.05549146985611073
chr6	29274617	29275337	cluster_6163	155	-0.0001808382892402	M08	0.95	60	0.03488372093023256	86	0.02857142857142857	70	-0.9151162790697674	-0.9214285714285714
chr4	81185723	81185765	cluster_5580	156	-1.2258168814039167e-05	M02		0		0		0		
