cpg_id	cluster_name	chr	start	end	age_weight_5yr	age_weight_per_year
cg12941249	cluster_4593	chr2	219860379	219860717	-0.042572963	-0.008514592599999999
cg00215611	cluster_4593	chr2	219860379	219860717	-0.042572963	-0.008514592599999999
cg22478258	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg18927901	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg00980581	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg26681975	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg02683846	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg23059700	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg17767484	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg01976992	cluster_6400	chr6	36237982	36238410	0.057841086	0.0115682172
cg01368230	cluster_7683	chr9	34628025	34628238	-0.027870513	-0.0055741026
cg03186877	cluster_7683	chr9	34628025	34628238	-0.027870513	-0.0055741026
cg01799460	cluster_125	chr1	6529710	6530205	-0.020406298	-0.0040812596
cg16146806	cluster_125	chr1	6529710	6530205	-0.020406298	-0.0040812596
cg19409156	cluster_2637	chr15	48413040	48413344	0.040134182	0.0080268364
cg09625274	cluster_2637	chr15	48413040	48413344	0.040134182	0.0080268364
cg01325409	cluster_2637	chr15	48413040	48413344	0.040134182	0.0080268364
cg01497576	cluster_2637	chr15	48413040	48413344	0.040134182	0.0080268364
cg04643655	cluster_2637	chr15	48413040	48413344	0.040134182	0.0080268364
cg19356515	cluster_1556	chr11	108408950	108408962	0.027292831	0.0054585662
cg02001060	cluster_1556	chr11	108408950	108408962	0.027292831	0.0054585662
cg01778926	cluster_1806	chr12	49371182	49371310	-0.025223915	-0.005044783
cg25190001	cluster_1806	chr12	49371182	49371310	-0.025223915	-0.005044783
cg18292434	cluster_5307	chr3	147112541	147113092	-0.024274621	-0.0048549242
cg04557018	cluster_5307	chr3	147112541	147113092	-0.024274621	-0.0048549242
cg02390329	cluster_5307	chr3	147112541	147113092	-0.024274621	-0.0048549242
cg01729491	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg04340874	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg18978493	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg16608407	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg04822748	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg16038003	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg00705992	cluster_6871	chr7	27225772	27226329	-0.011480476	-0.0022960952
cg17451688	cluster_634	chr1	234293071	234293143	0.102996079	0.0205992158
cg23603573	cluster_634	chr1	234293071	234293143	0.102996079	0.0205992158
cg20267718	cluster_634	chr1	234293071	234293143	0.102996079	0.0205992158
cg18148488	cluster_4420	chr2	88366775	88367503	0.037238383	0.0074476766
cg00578637	cluster_4420	chr2	88366775	88367503	0.037238383	0.0074476766
cg19074493	cluster_4420	chr2	88366775	88367503	0.037238383	0.0074476766
cg16090764	cluster_4420	chr2	88366775	88367503	0.037238383	0.0074476766
cg14559139	cluster_4420	chr2	88366775	88367503	0.037238383	0.0074476766
cg03704645	cluster_4420	chr2	88366775	88367503	0.037238383	0.0074476766
cg23335134	cluster_1257	chr11	2909690	2909715	-0.042734524	-0.008546904800000001
cg26874323	cluster_1257	chr11	2909690	2909715	-0.042734524	-0.008546904800000001
cg08222610	cluster_1257	chr11	2909690	2909715	-0.042734524	-0.008546904800000001
cg02805028	cluster_2910	chr16	27899239	27899404	0.041373344	0.0082746688
cg01896119	cluster_2910	chr16	27899239	27899404	0.041373344	0.0082746688
cg13425422	cluster_4538	chr2	167168604	167168852	0.027143405	0.0054286809999999994
cg03466415	cluster_4538	chr2	167168604	167168852	0.027143405	0.0054286809999999994
cg14752838	cluster_6960	chr7	76828885	76829845	0.062913074	0.0125826148
cg01310473	cluster_6960	chr7	76828885	76829845	0.062913074	0.0125826148
cg23708624	cluster_6960	chr7	76828885	76829845	0.062913074	0.0125826148
cg26654358	cluster_832	chr10	17347047	17347391	0.093944091	0.018788818199999998
cg12722935	cluster_832	chr10	17347047	17347391	0.093944091	0.018788818199999998
cg03830712	cluster_832	chr10	17347047	17347391	0.093944091	0.018788818199999998
cg16932285	cluster_1718	chr12	7188165	7188426	0.013745268	0.0027490535999999998
cg11729019	cluster_1718	chr12	7188165	7188426	0.013745268	0.0027490535999999998
cg16316042	cluster_1718	chr12	7188165	7188426	0.013745268	0.0027490535999999998
cg04585185	cluster_4897	chr21	17961737	17962124	0.054251055	0.010850211
cg00543364	cluster_4897	chr21	17961737	17962124	0.054251055	0.010850211
cg27205487	cluster_4897	chr21	17961737	17962124	0.054251055	0.010850211
cg24053070	cluster_4897	chr21	17961737	17962124	0.054251055	0.010850211
cg06035456	cluster_900	chr10	71560212	71560231	-0.022477033	-0.0044954066
cg10314139	cluster_900	chr10	71560212	71560231	-0.022477033	-0.0044954066
cg25316512	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg20006729	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg17762331	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg11812238	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg08021025	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg22475430	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg09215316	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg01437411	cluster_1715	chr12	7032991	7033911	-0.061309439	-0.0122618878
cg13284574	cluster_123	chr1	6519923	6520194	-0.032496993	-0.0064993986
cg12406391	cluster_123	chr1	6519923	6520194	-0.032496993	-0.0064993986
cg25924694	cluster_1922	chr12	102872603	102873312	0.043206154	0.0086412308
cg16801374	cluster_1922	chr12	102872603	102873312	0.043206154	0.0086412308
cg11612617	cluster_1922	chr12	102872603	102873312	0.043206154	0.0086412308
cg14240353	cluster_1922	chr12	102872603	102873312	0.043206154	0.0086412308
cg19340235	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg25267258	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg10643236	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg00640456	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg12628075	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg03019219	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg16958668	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg01660346	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg18828927	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg24817358	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg07193515	cluster_6163	chr6	29274617	29275337	0.016966375	0.003393275
cg10784341	cluster_6518	chr6	143929300	143929511	0.059909335	0.011981867
cg18030133	cluster_6518	chr6	143929300	143929511	0.059909335	0.011981867
cg19205041	cluster_6518	chr6	143929300	143929511	0.059909335	0.011981867
cg20539366	cluster_5064	chr22	46370644	46371152	-0.024982701	-0.0049965402
cg05475172	cluster_5064	chr22	46370644	46371152	-0.024982701	-0.0049965402
cg02251393	cluster_4532	chr2	159651559	159651918	0.015502877	0.0031005754
cg21992932	cluster_4532	chr2	159651559	159651918	0.015502877	0.0031005754
cg09357934	cluster_4532	chr2	159651559	159651918	0.015502877	0.0031005754
cg18555433	cluster_5024	chr22	32598479	32598570	-0.023901857	-0.0047803713999999995
cg08143133	cluster_5024	chr22	32598479	32598570	-0.023901857	-0.0047803713999999995
cg18800641	cluster_6651	chr6	168867541	168867685	0.028197967	0.0056395934
cg26265390	cluster_6651	chr6	168867541	168867685	0.028197967	0.0056395934
cg05097820	cluster_6651	chr6	168867541	168867685	0.028197967	0.0056395934
cg12030523	cluster_5928	chr5	126984765	126984994	0.052801687	0.0105603374
cg07157169	cluster_5928	chr5	126984765	126984994	0.052801687	0.0105603374
cg01682917	cluster_2324	chr13	114865944	114866221	-0.070097421	-0.014019484199999998
cg25324786	cluster_2324	chr13	114865944	114866221	-0.070097421	-0.014019484199999998
cg25585129	cluster_3227	chr17	4486580	4486934	-0.024409725	-0.004881945
cg01720228	cluster_3227	chr17	4486580	4486934	-0.024409725	-0.004881945
cg13211181	cluster_1764	chr12	25801455	25801621	0.045710488	0.0091420976
cg03681383	cluster_1764	chr12	25801455	25801621	0.045710488	0.0091420976
cg23979954	cluster_1764	chr12	25801455	25801621	0.045710488	0.0091420976
cg16133681	cluster_1764	chr12	25801455	25801621	0.045710488	0.0091420976
cg25024515	cluster_2004	chr12	124763658	124763800	0.054339939	0.0108679878
cg25098479	cluster_2004	chr12	124763658	124763800	0.054339939	0.0108679878
cg18352516	cluster_5336	chr3	177315226	177315882	0.030072859	0.0060145718
cg23199335	cluster_5336	chr3	177315226	177315882	0.030072859	0.0060145718
cg13846675	cluster_7504	chr8	53080905	53081140	0.072558145	0.014511629000000002
cg17159699	cluster_7504	chr8	53080905	53081140	0.072558145	0.014511629000000002
cg21608500	cluster_5447	chr4	1794043	1794084	-0.034925917	-0.0069851834
cg02790486	cluster_5447	chr4	1794043	1794084	-0.034925917	-0.0069851834
cg08864042	cluster_4404	chr2	74607470	74607600	-0.034161596	-0.006832319200000001
cg20303028	cluster_4404	chr2	74607470	74607600	-0.034161596	-0.006832319200000001
cg14601444	cluster_4404	chr2	74607470	74607600	-0.034161596	-0.006832319200000001
cg01753375	cluster_4404	chr2	74607470	74607600	-0.034161596	-0.006832319200000001
cg02771886	cluster_5252	chr3	114036607	114036631	0.01909685	0.00381937
cg17164827	cluster_5252	chr3	114036607	114036631	0.01909685	0.00381937
cg24950233	cluster_5656	chr4	174457944	174458502	-0.038815357	-0.0077630714
cg21383280	cluster_5656	chr4	174457944	174458502	-0.038815357	-0.0077630714
cg03993463	cluster_4920	chr21	39627271	39628679	0.027287077	0.0054574154
cg24751551	cluster_4920	chr21	39627271	39628679	0.027287077	0.0054574154
cg27312626	cluster_4920	chr21	39627271	39628679	0.027287077	0.0054574154
cg13966313	cluster_4920	chr21	39627271	39628679	0.027287077	0.0054574154
cg13863153	cluster_4920	chr21	39627271	39628679	0.027287077	0.0054574154
cg03924483	cluster_3303	chr17	26553567	26554245	-0.028370305	-0.005674060999999999
cg19539519	cluster_3303	chr17	26553567	26554245	-0.028370305	-0.005674060999999999
cg25191725	cluster_3303	chr17	26553567	26554245	-0.028370305	-0.005674060999999999
cg11231143	cluster_3303	chr17	26553567	26554245	-0.028370305	-0.005674060999999999
cg17110052	cluster_4141	chr19	51858208	51858276	-0.044835746	-0.0089671492
cg22469897	cluster_4141	chr19	51858208	51858276	-0.044835746	-0.0089671492
cg26990680	cluster_883	chr10	50816058	50816262	-0.033963623	-0.006792724599999999
cg04730768	cluster_883	chr10	50816058	50816262	-0.033963623	-0.006792724599999999
cg08806632	cluster_3928	chr19	13214412	13215041	-0.036694162	-0.0073388324
cg18801945	cluster_3928	chr19	13214412	13215041	-0.036694162	-0.0073388324
cg08177015	cluster_3978	chr19	18902527	18902727	-0.036936656	-0.0073873312
cg22865824	cluster_3978	chr19	18902527	18902727	-0.036936656	-0.0073873312
cg03767475	cluster_3978	chr19	18902527	18902727	-0.036936656	-0.0073873312
cg08970682	cluster_5599	chr4	106472990	106473806	0.044142923	0.0088285846
cg14020824	cluster_5599	chr4	106472990	106473806	0.044142923	0.0088285846
cg25370441	cluster_5599	chr4	106472990	106473806	0.044142923	0.0088285846
cg27126442	cluster_5599	chr4	106472990	106473806	0.044142923	0.0088285846
cg18343290	cluster_7095	chr7	140218068	140218338	-0.064702969	-0.0129405938
cg06310157	cluster_7095	chr7	140218068	140218338	-0.064702969	-0.0129405938
cg03078819	cluster_7095	chr7	140218068	140218338	-0.064702969	-0.0129405938
cg04938456	cluster_1851	chr12	56131768	56132083	-0.015637944	-0.0031275888
cg21147626	cluster_1851	chr12	56131768	56132083	-0.015637944	-0.0031275888
cg27324619	cluster_5020	chr22	31518860	31518963	-0.027558478	-0.0055116956
cg26373518	cluster_5020	chr22	31518860	31518963	-0.027558478	-0.0055116956
cg18053607	cluster_5020	chr22	31518860	31518963	-0.027558478	-0.0055116956
cg17259886	cluster_5977	chr5	147040667	147040773	0.060793808	0.0121587616
cg06736134	cluster_5977	chr5	147040667	147040773	0.060793808	0.0121587616
cg17670366	cluster_5977	chr5	147040667	147040773	0.060793808	0.0121587616
cg14604777	cluster_1921	chr12	101988756	101988803	0.013074757	0.0026149514
cg21339822	cluster_1921	chr12	101988756	101988803	0.013074757	0.0026149514
cg03156547	cluster_2355	chr14	23525003	23525720	-0.01669596	-0.003339192
cg03770548	cluster_2355	chr14	23525003	23525720	-0.01669596	-0.003339192
cg09834049	cluster_2355	chr14	23525003	23525720	-0.01669596	-0.003339192
cg24437408	cluster_1126	chr10	134661502	134661640	-0.033032012	-0.0066064024
cg10351829	cluster_1126	chr10	134661502	134661640	-0.033032012	-0.0066064024
cg19809636	cluster_1126	chr10	134661502	134661640	-0.033032012	-0.0066064024
cg06479254	cluster_4551	chr2	176983285	176983519	-0.053087412	-0.0106174824
cg23105697	cluster_4551	chr2	176983285	176983519	-0.053087412	-0.0106174824
cg08642538	cluster_2126	chr13	22058122	22058128	0.054376277	0.0108752554
cg03163982	cluster_2126	chr13	22058122	22058128	0.054376277	0.0108752554
cg06646780	cluster_6495	chr6	130182053	130182551	0.010966867	0.0021933734
cg15368264	cluster_6495	chr6	130182053	130182551	0.010966867	0.0021933734
cg18084999	cluster_6495	chr6	130182053	130182551	0.010966867	0.0021933734
cg12845215	cluster_6495	chr6	130182053	130182551	0.010966867	0.0021933734
cg22102078	cluster_6495	chr6	130182053	130182551	0.010966867	0.0021933734
cg17626734	cluster_6495	chr6	130182053	130182551	0.010966867	0.0021933734
cg08976101	cluster_1333	chr11	44328423	44329915	-0.042831806	-0.0085663612
cg17017404	cluster_1333	chr11	44328423	44329915	-0.042831806	-0.0085663612
cg13837679	cluster_1333	chr11	44328423	44329915	-0.042831806	-0.0085663612
cg15559684	cluster_5215	chr3	63428234	63428840	0.019791166	0.0039582331999999994
cg06185146	cluster_5215	chr3	63428234	63428840	0.019791166	0.0039582331999999994
cg11282156	cluster_5215	chr3	63428234	63428840	0.019791166	0.0039582331999999994
cg04269747	cluster_1564	chr11	111956647	111956885	-0.013214527	-0.0026429054000000002
cg19537591	cluster_1564	chr11	111956647	111956885	-0.013214527	-0.0026429054000000002
cg07540593	cluster_1564	chr11	111956647	111956885	-0.013214527	-0.0026429054000000002
cg03594819	cluster_1564	chr11	111956647	111956885	-0.013214527	-0.0026429054000000002
cg18268988	cluster_1564	chr11	111956647	111956885	-0.013214527	-0.0026429054000000002
cg08281515	cluster_1564	chr11	111956647	111956885	-0.013214527	-0.0026429054000000002
cg15305521	cluster_6498	chr6	132931714	132931736	0.017322151	0.0034644302
cg10655144	cluster_6498	chr6	132931714	132931736	0.017322151	0.0034644302
cg18740289	cluster_6087	chr6	2437142	2437147	0.055167825	0.011033564999999999
cg11792824	cluster_6087	chr6	2437142	2437147	0.055167825	0.011033564999999999
cg13360866	cluster_23	chr1	1135492	1135955	-0.023801903	-0.0047603806
cg24807889	cluster_23	chr1	1135492	1135955	-0.023801903	-0.0047603806
cg24767237	cluster_6020	chr5	172662724	172663219	-0.038638364	-0.0077276728
cg03625415	cluster_6020	chr5	172662724	172663219	-0.038638364	-0.0077276728
cg07383092	cluster_6020	chr5	172662724	172663219	-0.038638364	-0.0077276728
cg01040654	cluster_6020	chr5	172662724	172663219	-0.038638364	-0.0077276728
cg15454856	cluster_7042	chr7	108168130	108168721	0.0377521	0.0075504199999999995
cg13376438	cluster_7042	chr7	108168130	108168721	0.0377521	0.0075504199999999995
cg19275220	cluster_7042	chr7	108168130	108168721	0.0377521	0.0075504199999999995
cg21889691	cluster_7072	chr7	132435910	132436239	0.082616718	0.0165233436
cg13823919	cluster_7072	chr7	132435910	132436239	0.082616718	0.0165233436
cg15766024	cluster_5240	chr3	99904510	99904609	0.021563529	0.0043127058
cg04657715	cluster_5240	chr3	99904510	99904609	0.021563529	0.0043127058
cg06073355	cluster_5240	chr3	99904510	99904609	0.021563529	0.0043127058
cg03649589	cluster_7425	chr8	19460935	19461068	0.051781861	0.0103563722
cg24280945	cluster_7425	chr8	19460935	19461068	0.051781861	0.0103563722
cg17017272	cluster_2727	chr15	91447374	91447749	-0.016253451	-0.0032506901999999997
cg13579205	cluster_2727	chr15	91447374	91447749	-0.016253451	-0.0032506901999999997
cg09169633	cluster_2727	chr15	91447374	91447749	-0.016253451	-0.0032506901999999997
cg09407967	cluster_6410	chr6	41375649	41376295	-0.021018304	-0.0042036608
cg15305352	cluster_6410	chr6	41375649	41376295	-0.021018304	-0.0042036608
cg02404974	cluster_6410	chr6	41375649	41376295	-0.021018304	-0.0042036608
cg12129897	cluster_1406	chr11	62559856	62559882	-0.010845082	-0.0021690164000000003
cg07743764	cluster_1406	chr11	62559856	62559882	-0.010845082	-0.0021690164000000003
cg15428792	cluster_1742	chr12	11151430	11151622	0.010894564	0.0021789128
cg00260387	cluster_1742	chr12	11151430	11151622	0.010894564	0.0021789128
cg12424907	cluster_1742	chr12	11151430	11151622	0.010894564	0.0021789128
cg12791554	cluster_1742	chr12	11151430	11151622	0.010894564	0.0021789128
cg22440431	cluster_587	chr1	213122829	213123025	-0.017575416	-0.0035150832
cg05332152	cluster_587	chr1	213122829	213123025	-0.017575416	-0.0035150832
cg17327492	cluster_4373	chr2	49382159	49382401	0.049797989	0.0099595978
cg19927457	cluster_4373	chr2	49382159	49382401	0.049797989	0.0099595978
cg12353175	cluster_4373	chr2	49382159	49382401	0.049797989	0.0099595978
